,user,cat,regularitynbFollowing,regularitynbCatchup,regularitynbIndependant,nbVideos,regularitybehavior,regularityClasses,prediction
172,miroc,Ordinary - Registered,0.0,1.0,0.0,6.0,Catch-upper,2,1
173,Mišo,Ordinary - Registered,0.5,0.5,0.0,4.0,Follower,0,3
174,MojcaDamijan,Ordinary - Registered,0.6153846153846154,0.38461538461538464,0.0,13.0,Follower,0,3
175,Nataša,Ordinary - Registered,0.5714285714285714,0.2857142857142857,0.14285714285714285,7.0,Follower,0,3
176,Nejc Kodric,Ordinary - Registered,0.07692307692307693,0.6923076923076923,0.23076923076923078,13.0,Catch-upper,2,1
177,Nejc Likar,Ordinary - Registered,0.25,0.0,0.75,4.0,Independant,1,2
178,nenad,Ordinary - Registered,1.0,0.0,0.0,7.0,Follower,0,0
179,NenadS,Ordinary - Registered,0.16666666666666666,0.5833333333333334,0.25,12.0,Catch-upper,2,4
180,Neven,Ordinary - Registered,0.6153846153846154,0.38461538461538464,0.0,13.0,Follower,0,3
181,Niko Vukusic,Ordinary - Registered,0.6666666666666666,0.3333333333333333,0.0,12.0,Follower,0,3
182,niko.mihovilovic,Ordinary - Registered,0.75,0.16666666666666666,0.08333333333333333,12.0,Follower,0,0
183,Nikola Baržic,Ordinary - Registered,0.0,0.0,1.0,7.0,Independant,1,2
184,Nikoleta,Ordinary - Registered,0.6,0.4,0.0,10.0,Follower,0,3
185,nikonikokaoja,Ordinary - Registered,0.25,0.0,0.75,4.0,Independant,1,2
186,Oaky,Ordinary - Registered,0.6666666666666666,0.3333333333333333,0.0,9.0,Follower,0,3
187,Ojiga,Ordinary - Registered,0.5,0.5,0.0,4.0,Follower,0,3
188,Pavle,Ordinary - Registered,0.7692307692307693,0.23076923076923078,0.0,13.0,Follower,0,0
189,pedro,Ordinary - Registered,0.0,1.0,0.0,10.0,Catch-upper,2,1
190,peri,Ordinary - Registered,0.7692307692307693,0.0,0.23076923076923078,13.0,Follower,0,0
191,Pero,Ordinary - Registered,0.0,0.2222222222222222,0.7777777777777778,9.0,Independant,1,2
192,Petar,Ordinary - Registered,0.3333333333333333,0.25,0.4166666666666667,12.0,Mixed - No predominent behavior,3,4
193,PeterKogej,Ordinary - Registered,0.09090909090909091,0.36363636363636365,0.5454545454545454,11.0,Independant,1,4
194,PetraP,Ordinary - Registered,0.2,0.8,0.0,10.0,Catch-upper,2,1
195,Pina,Ordinary - Registered,0.8461538461538461,0.15384615384615385,0.0,13.0,Follower,0,0
196,Pino,Ordinary - Registered,0.1111111111111111,0.2222222222222222,0.6666666666666666,9.0,Independant,1,4
197,Pirko,Ordinary - Registered,0.0,0.3333333333333333,0.6666666666666666,12.0,Independant,1,4
198,Pjerino,Ordinary - Registered,1.0,0.0,0.0,6.0,Follower,0,0
199,Pjero,Ordinary - Registered,0.5555555555555556,0.2222222222222222,0.2222222222222222,9.0,Follower,0,3
200,Plavac_mali,Ordinary - Registered,0.5833333333333334,0.4166666666666667,0.0,12.0,Follower,0,3
201,plombar,Ordinary - Registered,0.23076923076923078,0.7692307692307693,0.0,13.0,Catch-upper,2,1
202,Pokmon,Ordinary - Registered,0.3333333333333333,0.6666666666666666,0.0,12.0,Catch-upper,2,3
203,Pokret Otoka,Ordinary - Registered,0.2857142857142857,0.7142857142857143,0.0,7.0,Catch-upper,2,1
204,Polona,Ordinary - Registered,0.46153846153846156,0.0,0.5384615384615384,13.0,Independant,1,4
205,Primosius,Ordinary - Registered,0.0,0.0,1.0,4.0,Independant,1,2
206,RadoL,Ordinary - Registered,0.4166666666666667,0.3333333333333333,0.25,12.0,Mixed - No predominent behavior,3,3
207,Ramo,Ordinary - Registered,0.7692307692307693,0.23076923076923078,0.0,13.0,Follower,0,0
208,Rebeka,Ordinary - Registered,0.0,0.0,1.0,13.0,Independant,1,2
209,RobiF,Ordinary - Registered,0.75,0.0,0.25,4.0,Follower,0,0
210,rocco337,Ordinary - Registered,0.0,1.0,0.0,9.0,Catch-upper,2,1
211,Rok321,Ordinary - Registered,0.5,0.5,0.0,4.0,Follower,0,3
212,Roki,Ordinary - Registered,0.15384615384615385,0.15384615384615385,0.6923076923076923,13.0,Independant,1,2
213,rokian,Ordinary - Registered,0.5,0.0,0.5,4.0,Follower,0,4
214,Romana,Ordinary - Registered,0.1111111111111111,0.5555555555555556,0.3333333333333333,9.0,Catch-upper,2,4
215,ruzica kovacevic,Ordinary - Registered,0.25,0.5833333333333334,0.16666666666666666,12.0,Catch-upper,2,3
216,Sailman,Ordinary - Registered,0.5,0.5,0.0,12.0,Follower,0,3
217,Salieri,Ordinary - Registered,0.0,0.0,1.0,12.0,Independant,1,2
218,Sandi,Ordinary - Registered,0.5,0.3333333333333333,0.16666666666666666,6.0,Mixed - No predominent behavior,3,3
219,sawyer,Ordinary - Registered,0.07692307692307693,0.6153846153846154,0.3076923076923077,13.0,Catch-upper,2,4
220,shrike,Ordinary - Registered,0.6666666666666666,0.3333333333333333,0.0,6.0,Follower,0,3
221,Silvestar Tokic,Ordinary - Registered,0.3076923076923077,0.6923076923076923,0.0,13.0,Catch-upper,2,1
222,Šimun Zamberlin,Ordinary - Registered,0.7692307692307693,0.15384615384615385,0.07692307692307693,13.0,Follower,0,0
223,Škatja,Ordinary - Registered,0.14285714285714285,0.2857142857142857,0.5714285714285714,7.0,Independant,1,4
224,slipke,Ordinary - Registered,0.0,0.0,1.0,5.0,Independant,1,2
225,splicho,Ordinary - Registered,0.0,1.0,0.0,8.0,Catch-upper,2,1
226,staneb,Ordinary - Registered,0.5833333333333334,0.4166666666666667,0.0,12.0,Follower,0,3
227,Stanojevic,Ordinary - Registered,0.0,0.0,1.0,5.0,Independant,1,2
228,stipica,Ordinary - Registered,0.3076923076923077,0.46153846153846156,0.23076923076923078,13.0,Mixed - No predominent behavior,3,4
229,TAMARA L.,Ordinary - Registered,0.7692307692307693,0.15384615384615385,0.07692307692307693,13.0,Follower,0,0
230,tasa,Ordinary - Registered,0.2857142857142857,0.7142857142857143,0.0,7.0,Catch-upper,2,1
231,Tatjana,Ordinary - Registered,0.0,1.0,0.0,4.0,Catch-upper,2,1
232,tibor,Ordinary - Registered,0.0,0.5,0.5,6.0,Mixed - No predominent behavior,3,4
233,Tina Kiler,Ordinary - Registered,0.15384615384615385,0.8461538461538461,0.0,13.0,Catch-upper,2,1
234,Tjaša,Ordinary - Registered,0.5833333333333334,0.25,0.16666666666666666,12.0,Follower,0,3
235,Tojo,Ordinary - Registered,0.16666666666666666,0.8333333333333334,0.0,12.0,Catch-upper,2,1
236,tomaz1961,Ordinary - Registered,0.5,0.3333333333333333,0.16666666666666666,12.0,Follower,0,3
237,tomba,Ordinary - Registered,0.2222222222222222,0.7777777777777778,0.0,9.0,Catch-upper,2,1
238,Tome,Ordinary - Registered,0.42857142857142855,0.5714285714285714,0.0,7.0,Catch-upper,2,3
239,Tomica,Ordinary - Registered,1.0,0.0,0.0,7.0,Follower,0,0
240,Tomislav Cipcic,Ordinary - Registered,0.0,0.5,0.5,4.0,Catch-upper,2,4
241,TonCa,Ordinary - Registered,0.15384615384615385,0.38461538461538464,0.46153846153846156,13.0,Mixed - No predominent behavior,3,4
242,toni88,Ordinary - Registered,0.08333333333333333,0.6666666666666666,0.25,12.0,Catch-upper,2,1
243,Tpk,Ordinary - Registered,0.5714285714285714,0.2857142857142857,0.14285714285714285,7.0,Follower,0,3
244,Trojan,Ordinary - Registered,0.8888888888888888,0.0,0.1111111111111111,9.0,Follower,0,0
245,Urle,Ordinary - Registered,0.0,0.23076923076923078,0.7692307692307693,13.0,Independant,1,2
246,Urosv,Ordinary - Registered,0.5833333333333334,0.4166666666666667,0.0,12.0,Follower,0,3
247,vanja123,Ordinary - Registered,0.2,0.8,0.0,5.0,Catch-upper,2,1
248,Vedran,Ordinary - Registered,0.45454545454545453,0.18181818181818182,0.36363636363636365,11.0,Mixed - No predominent behavior,3,4
249,Vedran_499,Ordinary - Registered,0.2857142857142857,0.2857142857142857,0.42857142857142855,7.0,Mixed - No predominent behavior,3,4
250,vedrana,Ordinary - Registered,0.25,0.5,0.25,4.0,Catch-upper,2,4
251,vibord,Ordinary - Registered,0.0,0.38461538461538464,0.6153846153846154,13.0,Independant,1,4
252,vid,Ordinary - Registered,0.09090909090909091,0.5454545454545454,0.36363636363636365,11.0,Catch-upper,2,4
253,Vido,Ordinary - Registered,0.25,0.75,0.0,4.0,Catch-upper,2,1
254,Vido Repanšek,Ordinary - Registered,0.5,0.5,0.0,4.0,Follower,0,3
255,Viktor Vic,Ordinary - Registered,0.5454545454545454,0.18181818181818182,0.2727272727272727,11.0,Follower,0,3
256,vini,Ordinary - Registered,0.1,0.0,0.9,10.0,Independant,1,2
257,Vlado,Ordinary - Registered,0.8181818181818182,0.0,0.18181818181818182,11.0,Follower,0,0
258,Vlajko,Ordinary - Registered,0.0,0.15384615384615385,0.8461538461538461,13.0,Independant,1,2
259,Vlasta Svetina,Ordinary - Registered,0.0,0.0,1.0,12.0,Independant,1,2
260,wavemaker,Ordinary - Registered,0.16666666666666666,0.6666666666666666,0.16666666666666666,12.0,Catch-upper,2,1
261,x,Ordinary - Registered,0.0,0.0,1.0,10.0,Independant,1,2
262,Žanetic,Ordinary - Registered,0.0,0.5384615384615384,0.46153846153846156,13.0,Catch-upper,2,4
263,Zdenko,Ordinary - Registered,0.0,0.6,0.4,5.0,Catch-upper,2,4
264,Zdenko Škrlj,Ordinary - Registered,0.3076923076923077,0.15384615384615385,0.5384615384615384,13.0,Independant,1,4
265,Zdravko,Ordinary - Registered,0.15384615384615385,0.3076923076923077,0.5384615384615384,13.0,Independant,1,4
266,Živko Joncic,Ordinary - Registered,0.0,0.9230769230769231,0.07692307692307693,13.0,Catch-upper,2,1
267,zvjezdana,Ordinary - Registered,0.2,0.6,0.2,5.0,Catch-upper,2,4
268,Zvonimir Matic,Ordinary - Registered,0.0,1.0,0.0,4.0,Catch-upper,2,1
269,003136ec-fd3a-908e-de7e-45301e3b,Ordinary - Unregistered,0.2,0.8,0.0,5.0,Catch-upper,2,1
270,0064c3fd-7e6e-425c-f754-34b889c8,Ordinary - Unregistered,0.0,0.0,1.0,6.0,Independant,1,2
271,037820a7-a143-422c-3ebd-3553d373,Ordinary - Unregistered,0.0,1.0,0.0,7.0,Catch-upper,2,1
272,04745589-295d-158e-c6c0-ef24f730,Ordinary - Unregistered,1.0,0.0,0.0,4.0,Follower,0,0
273,04a7d779-f053-b1a3-386e-82d69979,Ordinary - Unregistered,0.0,0.0,1.0,7.0,Independant,1,2
274,068616a9-816f-e8e4-d737-6ddba1df,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
275,06f2e041-7a2d-a0ab-5f48-fd01f0a2,Ordinary - Unregistered,0.0,1.0,0.0,11.0,Catch-upper,2,1
276,0781bbba-c179-f93c-1116-8d684911,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,2
277,08ee9ac0-7656-2b25-ce41-b44d758e,Ordinary - Unregistered,1.0,0.0,0.0,4.0,Follower,0,0
278,0a84077c-d3fa-56fc-803c-a863ca7e,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
279,0c9621b0-ff94-77e8-727f-5420882d,Ordinary - Unregistered,0.6666666666666666,0.3333333333333333,0.0,6.0,Follower,0,3
280,0e59235e-e51a-a5cd-e0ba-0fffe847,Ordinary - Unregistered,0.0,1.0,0.0,11.0,Catch-upper,2,1
281,101c246c-3f77-d919-ca38-8d19141e,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
282,10355f7a-f86a-830c-cbf1-fb3c40b6,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
283,135b42ab-ac52-d14a-c37c-6ffeca28,Ordinary - Unregistered,0.0,0.0,1.0,8.0,Independant,1,2
284,1459b8fd-ecab-4e30-1fc9-3d649648,Ordinary - Unregistered,0.0,1.0,0.0,7.0,Catch-upper,2,1
285,1496b095-5b5f-4c47-5066-49bcf5d6,Ordinary - Unregistered,0.0,1.0,0.0,4.0,Catch-upper,2,1
286,14a5fec5-bb5b-cac7-e40e-9a363e5c,Ordinary - Unregistered,0.0,0.75,0.25,4.0,Catch-upper,2,1
287,16ba8f74-d9b7-c724-98c5-f31f43be,Ordinary - Unregistered,0.6666666666666666,0.3333333333333333,0.0,6.0,Follower,0,3
288,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,Ordinary - Unregistered,0.0,1.0,0.0,8.0,Catch-upper,2,1
289,195b9f52-3731-37a7-2c74-19d11cb6,Ordinary - Unregistered,0.0,0.0,1.0,7.0,Independant,1,2
290,196bc15c-4aac-31e9-7c5d-3599ce10,Ordinary - Unregistered,0.2,0.0,0.8,5.0,Independant,1,2
291,1acb1c12-47e9-e408-eaf9-8167947a,Ordinary - Unregistered,1.0,0.0,0.0,4.0,Follower,0,0
292,1b1cd7ac-2f24-1493-5d7e-d7873af1,Ordinary - Unregistered,0.75,0.0,0.25,4.0,Follower,0,0
293,1beb31a1-0aea-018e-a7e1-82085ffa,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
294,1c09a110-d9c3-2442-9f5d-aee802c0,Ordinary - Unregistered,0.0,1.0,0.0,4.0,Catch-upper,2,1
295,1cb07e56-7b73-0087-0a17-3e9c1f88,Ordinary - Unregistered,0.25,0.75,0.0,8.0,Catch-upper,2,1
296,1d3ed189-1162-0dd0-bcb2-fda83a50,Ordinary - Unregistered,0.8333333333333334,0.0,0.16666666666666666,6.0,Follower,0,0
297,1d66d118-9cc1-c6cd-c61c-02ca2ddc,Ordinary - Unregistered,0.0,1.0,0.0,5.0,Catch-upper,2,1
298,1d90b45b-4d8d-42a1-43cd-38e1a241,Ordinary - Unregistered,0.8,0.0,0.2,5.0,Follower,0,0
299,1e81aa64-c3c9-ee4f-ce3c-c4248be0,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,2
300,1f7f3fd7-7087-1461-cf43-9add2172,Ordinary - Unregistered,0.5,0.5,0.0,4.0,Follower,0,3
301,1f96865d-62d4-b049-1788-cfccf324,Ordinary - Unregistered,1.0,0.0,0.0,4.0,Follower,0,0
302,20e2fc85-7d0f-8a2c-b651-4b811a97,Ordinary - Unregistered,0.16666666666666666,0.3333333333333333,0.5,6.0,Mixed - No predominent behavior,3,4
303,23e6f6c8-2cd0-ac1c-e8a1-f2338caa,Ordinary - Unregistered,0.0,1.0,0.0,12.0,Catch-upper,2,1
304,258d2e1f-e3e8-2612-8285-895fb96d,Ordinary - Unregistered,0.5,0.5,0.0,4.0,Follower,0,3
305,269144fa-ef0e-c81e-52ff-df9a348a,Ordinary - Unregistered,0.15384615384615385,0.7692307692307693,0.07692307692307693,13.0,Catch-upper,2,1
306,270174bf-baf8-aab4-48e3-139fcf47,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
307,27080783-250a-3521-f816-6e7b29cf,Ordinary - Unregistered,1.0,0.0,0.0,5.0,Follower,0,0
308,2c1d08f2-a1ba-6915-db46-1a7721b9,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,2
309,2ee1d86b-74ed-47f3-5733-61cc4821,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,2
310,2f7f0e40-1234-75db-2bcf-bdfbdfbc,Ordinary - Unregistered,1.0,0.0,0.0,6.0,Follower,0,0
311,31a88be4-13ad-06c2-119c-3551a490,Ordinary - Unregistered,0.0,0.3,0.7,10.0,Independant,1,4
312,3244a4c0-3f85-3017-5694-2f5647cb,Ordinary - Unregistered,0.8571428571428571,0.0,0.14285714285714285,7.0,Follower,0,0
313,3447bacb-f54d-55c2-592f-3a3ff765,Ordinary - Unregistered,0.0,1.0,0.0,8.0,Catch-upper,2,1
314,34a3d1d8-74eb-8a4e-0506-b9ca1551,Ordinary - Unregistered,0.25,0.0,0.75,4.0,Independant,1,2
315,35813a40-7aa6-5336-237b-c93f1759,Ordinary - Unregistered,0.0,1.0,0.0,8.0,Catch-upper,2,1
316,35ce5334-aefb-9a61-d1c3-7f01a776,Ordinary - Unregistered,0.0,1.0,0.0,8.0,Catch-upper,2,1
317,35daa597-4591-5a82-57a9-1fba2635,Ordinary - Unregistered,0.5,0.5,0.0,4.0,Follower,0,3
318,367365a7-8d2a-3b00-f3e3-f877be3c,Ordinary - Unregistered,0.14285714285714285,0.8571428571428571,0.0,7.0,Catch-upper,2,1
319,3681eecc-7864-c1c1-0024-4d4234be,Ordinary - Unregistered,0.0,1.0,0.0,10.0,Catch-upper,2,1
320,36a67ef1-5f22-7846-3f95-faec67c9,Ordinary - Unregistered,1.0,0.0,0.0,4.0,Follower,0,0
321,37ada581-75c2-560e-2eb3-3db3a231,Ordinary - Unregistered,0.0,1.0,0.0,5.0,Catch-upper,2,1
322,37d73652-37e1-cc5f-6c84-3b9a528c,Ordinary - Unregistered,0.6666666666666666,0.3333333333333333,0.0,6.0,Follower,0,3
323,380773a6-f975-22c8-187e-e40fe702,Ordinary - Unregistered,0.5,0.5,0.0,4.0,Follower,0,3
324,3be7d5a2-f78e-3472-e5ac-fa27ed08,Ordinary - Unregistered,0.0,0.0,1.0,6.0,Independant,1,2
325,3c370e25-1bd5-c34b-ec40-31117752,Ordinary - Unregistered,0.0,1.0,0.0,4.0,Catch-upper,2,1
326,3d524e1d-934c-6d53-022b-983c91c3,Ordinary - Unregistered,0.2,0.4,0.4,5.0,Mixed - No predominent behavior,3,4
327,3d7d0f75-dda5-644d-e527-018ff340,Ordinary - Unregistered,0.0,0.18181818181818182,0.8181818181818182,11.0,Independant,1,2
328,3dc06a27-afe4-b105-1f3c-997851c7,Ordinary - Unregistered,0.09090909090909091,0.8181818181818182,0.09090909090909091,11.0,Catch-upper,2,1
329,3e4346e0-6285-8776-f373-101eac22,Ordinary - Unregistered,1.0,0.0,0.0,5.0,Follower,0,0
330,3e713aeb-dcb2-d6a8-962f-635df3e8,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,2
331,3fc2e2fe-697a-3255-1a17-4204819d,Ordinary - Unregistered,0.25,0.75,0.0,8.0,Catch-upper,2,1
332,404bc704-6703-c3c0-815e-55c756c5,Ordinary - Unregistered,0.875,0.0,0.125,8.0,Follower,0,0
333,4196e8ee-e405-a1e1-4a7f-7d9149a5,Ordinary - Unregistered,0.0,1.0,0.0,4.0,Catch-upper,2,1
334,42779e7e-90bc-7eac-5aa8-a9874f90,Ordinary - Unregistered,0.2727272727272727,0.36363636363636365,0.36363636363636365,11.0,Mixed - No predominent behavior,3,4
335,440d90ef-c7d7-0530-608e-8c0fc440,Ordinary - Unregistered,0.42857142857142855,0.5714285714285714,0.0,7.0,Catch-upper,2,3
336,459f5319-edaf-cd53-126d-fdfb12a5,Ordinary - Unregistered,1.0,0.0,0.0,4.0,Follower,0,0
