,user,cat,regularitynbFollowing,regularitynbCatchup,regularitynbIndependant,nbVideos,regularitybehavior,regularityClasses,features,prediction
166,mihaelas,Ordinary - Registered,0.012345679012345678,0.4444444444444444,0.4444444444444444,9.0,Mixed - No predominent behavior,3,"[0.012345679012345678,0.4444444444444444,0.4444444444444444]",2
167,Miho,Ordinary - Registered,0.03305785123966942,0.18181818181818182,0.45454545454545453,11.0,Mixed - No predominent behavior,3,"[0.03305785123966942,0.18181818181818182,0.45454545454545453]",2
168,Milan Kuraš,Ordinary - Registered,0.00591715976331361,0.07692307692307693,0.8461538461538461,13.0,Independant,1,"[0.00591715976331361,0.07692307692307693,0.8461538461538461]",0
169,Mirela,Ordinary - Registered,0.01775147928994083,0.07692307692307693,0.6923076923076923,13.0,Independant,1,"[0.01775147928994083,0.07692307692307693,0.6923076923076923]",0
170,Mirjana Puškarski,Ordinary - Registered,0.109375,0.125,0.0,8.0,Follower,0,"[0.109375,0.125,0.0]",2
171,Mirkomatic,Ordinary - Registered,0.01775147928994083,0.3076923076923077,0.46153846153846156,13.0,Mixed - No predominent behavior,3,"[0.01775147928994083,0.3076923076923077,0.46153846153846156]",2
172,miroc,Ordinary - Registered,0.027777777777777776,0.8333333333333334,0.0,6.0,Catch-upper,2,"[0.027777777777777776,0.8333333333333334,0.0]",1
173,Mišo,Ordinary - Registered,0.1875,0.25,0.0,4.0,Follower,0,"[0.1875,0.25,0.0]",2
174,MojcaDamijan,Ordinary - Registered,0.05325443786982249,0.3076923076923077,0.0,13.0,Follower,0,"[0.05325443786982249,0.3076923076923077,0.0]",2
175,Nataša,Ordinary - Registered,0.10204081632653061,0.14285714285714285,0.14285714285714285,7.0,Follower,0,"[0.10204081632653061,0.14285714285714285,0.14285714285714285]",2
176,Nejc Kodric,Ordinary - Registered,0.01183431952662722,0.6153846153846154,0.23076923076923078,13.0,Catch-upper,2,"[0.01183431952662722,0.6153846153846154,0.23076923076923078]",1
177,Nejc Likar,Ordinary - Registered,0.0625,0.0,0.75,4.0,Independant,1,"[0.0625,0.0,0.75]",0
178,nenad,Ordinary - Registered,0.14285714285714285,0.0,0.0,7.0,Follower,0,"[0.14285714285714285,0.0,0.0]",2
179,NenadS,Ordinary - Registered,0.020833333333333332,0.5,0.25,12.0,Catch-upper,2,"[0.020833333333333332,0.5,0.25]",1
180,Neven,Ordinary - Registered,0.0591715976331361,0.23076923076923078,0.0,13.0,Follower,0,"[0.0591715976331361,0.23076923076923078,0.0]",2
181,Niko Vukusic,Ordinary - Registered,0.0625,0.25,0.0,12.0,Follower,0,"[0.0625,0.25,0.0]",2
182,niko.mihovilovic,Ordinary - Registered,0.06944444444444445,0.08333333333333333,0.08333333333333333,12.0,Follower,0,"[0.06944444444444445,0.08333333333333333,0.08333333333333333]",2
183,Nikola Baržic,Ordinary - Registered,0.0,0.0,1.0,7.0,Independant,1,"[0.0,0.0,1.0]",0
184,Nikoleta,Ordinary - Registered,0.06999999999999999,0.3,0.0,10.0,Follower,0,"[0.06999999999999999,0.3,0.0]",2
185,nikonikokaoja,Ordinary - Registered,0.0625,0.0,0.75,4.0,Independant,1,"[0.0625,0.0,0.75]",0
186,Oaky,Ordinary - Registered,0.08641975308641975,0.2222222222222222,0.0,9.0,Follower,0,"[0.08641975308641975,0.2222222222222222,0.0]",2
187,Ojiga,Ordinary - Registered,0.1875,0.25,0.0,4.0,Follower,0,"[0.1875,0.25,0.0]",2
188,Pavle,Ordinary - Registered,0.0650887573964497,0.15384615384615385,0.0,13.0,Follower,0,"[0.0650887573964497,0.15384615384615385,0.0]",2
189,pedro,Ordinary - Registered,0.02,0.8,0.0,10.0,Catch-upper,2,"[0.02,0.8,0.0]",1
190,peri,Ordinary - Registered,0.0591715976331361,0.0,0.23076923076923078,13.0,Follower,0,"[0.0591715976331361,0.0,0.23076923076923078]",2
191,Pero,Ordinary - Registered,0.012345679012345678,0.1111111111111111,0.7777777777777778,9.0,Independant,1,"[0.012345679012345678,0.1111111111111111,0.7777777777777778]",0
192,Petar,Ordinary - Registered,0.034722222222222224,0.16666666666666666,0.4166666666666667,12.0,Mixed - No predominent behavior,3,"[0.034722222222222224,0.16666666666666666,0.4166666666666667]",2
193,PeterKogej,Ordinary - Registered,0.01652892561983471,0.2727272727272727,0.5454545454545454,11.0,Independant,1,"[0.01652892561983471,0.2727272727272727,0.5454545454545454]",0
194,PetraP,Ordinary - Registered,0.06,0.4,0.0,10.0,Follower,0,"[0.06,0.4,0.0]",2
195,Pina,Ordinary - Registered,0.07100591715976332,0.07692307692307693,0.0,13.0,Follower,0,"[0.07100591715976332,0.07692307692307693,0.0]",2
196,Pino,Ordinary - Registered,0.024691358024691357,0.1111111111111111,0.6666666666666666,9.0,Independant,1,"[0.024691358024691357,0.1111111111111111,0.6666666666666666]",0
197,Pirko,Ordinary - Registered,0.013888888888888888,0.16666666666666666,0.6666666666666666,12.0,Independant,1,"[0.013888888888888888,0.16666666666666666,0.6666666666666666]",0
198,Pjerino,Ordinary - Registered,0.16666666666666666,0.0,0.0,6.0,Follower,0,"[0.16666666666666666,0.0,0.0]",2
199,Pjero,Ordinary - Registered,0.07407407407407407,0.1111111111111111,0.2222222222222222,9.0,Follower,0,"[0.07407407407407407,0.1111111111111111,0.2222222222222222]",2
200,Plavac_mali,Ordinary - Registered,0.05555555555555555,0.3333333333333333,0.0,12.0,Follower,0,"[0.05555555555555555,0.3333333333333333,0.0]",2
201,plombar,Ordinary - Registered,0.04142011834319526,0.46153846153846156,0.0,13.0,Follower,0,"[0.04142011834319526,0.46153846153846156,0.0]",1
202,Pokmon,Ordinary - Registered,0.04861111111111111,0.4166666666666667,0.0,12.0,Follower,0,"[0.04861111111111111,0.4166666666666667,0.0]",1
203,Pokret Otoka,Ordinary - Registered,0.08163265306122448,0.42857142857142855,0.0,7.0,Follower,0,"[0.08163265306122448,0.42857142857142855,0.0]",1
204,Polona,Ordinary - Registered,0.03550295857988166,0.0,0.5384615384615384,13.0,Independant,1,"[0.03550295857988166,0.0,0.5384615384615384]",0
205,Primosius,Ordinary - Registered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]",0
206,RadoL,Ordinary - Registered,0.041666666666666664,0.25,0.25,12.0,Follower,0,"[0.041666666666666664,0.25,0.25]",2
207,Ramo,Ordinary - Registered,0.0650887573964497,0.15384615384615385,0.0,13.0,Follower,0,"[0.0650887573964497,0.15384615384615385,0.0]",2
208,Rebeka,Ordinary - Registered,0.0,0.0,1.0,13.0,Independant,1,"[0.0,0.0,1.0]",0
209,RobiF,Ordinary - Registered,0.1875,0.0,0.25,4.0,Follower,0,"[0.1875,0.0,0.25]",2
210,rocco337,Ordinary - Registered,0.024691358024691357,0.7777777777777778,0.0,9.0,Catch-upper,2,"[0.024691358024691357,0.7777777777777778,0.0]",1
211,Rok321,Ordinary - Registered,0.1875,0.25,0.0,4.0,Follower,0,"[0.1875,0.25,0.0]",2
212,Roki,Ordinary - Registered,0.01775147928994083,0.07692307692307693,0.6923076923076923,13.0,Independant,1,"[0.01775147928994083,0.07692307692307693,0.6923076923076923]",0
213,rokian,Ordinary - Registered,0.125,0.0,0.5,4.0,Follower,0,"[0.125,0.0,0.5]",0
214,Romana,Ordinary - Registered,0.037037037037037035,0.3333333333333333,0.3333333333333333,9.0,Mixed - No predominent behavior,3,"[0.037037037037037035,0.3333333333333333,0.3333333333333333]",2
215,ruzica kovacevic,Ordinary - Registered,0.041666666666666664,0.3333333333333333,0.16666666666666666,12.0,Follower,0,"[0.041666666666666664,0.3333333333333333,0.16666666666666666]",2
216,Sailman,Ordinary - Registered,0.05555555555555555,0.3333333333333333,0.0,12.0,Follower,0,"[0.05555555555555555,0.3333333333333333,0.0]",2
217,Salieri,Ordinary - Registered,0.0,0.0,1.0,12.0,Independant,1,"[0.0,0.0,1.0]",0
218,Sandi,Ordinary - Registered,0.1111111111111111,0.16666666666666666,0.16666666666666666,6.0,Follower,0,"[0.1111111111111111,0.16666666666666666,0.16666666666666666]",2
219,sawyer,Ordinary - Registered,0.01775147928994083,0.46153846153846156,0.3076923076923077,13.0,Mixed - No predominent behavior,3,"[0.01775147928994083,0.46153846153846156,0.3076923076923077]",2
220,shrike,Ordinary - Registered,0.1388888888888889,0.16666666666666666,0.0,6.0,Follower,0,"[0.1388888888888889,0.16666666666666666,0.0]",2
221,Silvestar Tokic,Ordinary - Registered,0.02958579881656805,0.6153846153846154,0.0,13.0,Catch-upper,2,"[0.02958579881656805,0.6153846153846154,0.0]",1
222,Šimun Zamberlin,Ordinary - Registered,0.0650887573964497,0.07692307692307693,0.07692307692307693,13.0,Follower,0,"[0.0650887573964497,0.07692307692307693,0.07692307692307693]",2
223,Škatja,Ordinary - Registered,0.04081632653061224,0.14285714285714285,0.5714285714285714,7.0,Independant,1,"[0.04081632653061224,0.14285714285714285,0.5714285714285714]",0
224,slipke,Ordinary - Registered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]",0
225,splicho,Ordinary - Registered,0.03125,0.75,0.0,8.0,Catch-upper,2,"[0.03125,0.75,0.0]",1
226,staneb,Ordinary - Registered,0.0625,0.25,0.0,12.0,Follower,0,"[0.0625,0.25,0.0]",2
227,Stanojevic,Ordinary - Registered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]",0
228,stipica,Ordinary - Registered,0.02958579881656805,0.38461538461538464,0.23076923076923078,13.0,Mixed - No predominent behavior,3,"[0.02958579881656805,0.38461538461538464,0.23076923076923078]",2
229,TAMARA L.,Ordinary - Registered,0.0650887573964497,0.07692307692307693,0.07692307692307693,13.0,Follower,0,"[0.0650887573964497,0.07692307692307693,0.07692307692307693]",2
230,tasa,Ordinary - Registered,0.10204081632653061,0.2857142857142857,0.0,7.0,Follower,0,"[0.10204081632653061,0.2857142857142857,0.0]",2
231,Tatjana,Ordinary - Registered,0.125,0.5,0.0,4.0,Follower,0,"[0.125,0.5,0.0]",1
232,tibor,Ordinary - Registered,0.027777777777777776,0.3333333333333333,0.5,6.0,Mixed - No predominent behavior,3,"[0.027777777777777776,0.3333333333333333,0.5]",2
233,Tina Kiler,Ordinary - Registered,0.03550295857988166,0.5384615384615384,0.0,13.0,Catch-upper,2,"[0.03550295857988166,0.5384615384615384,0.0]",1
234,Tjaša,Ordinary - Registered,0.05555555555555555,0.16666666666666666,0.16666666666666666,12.0,Follower,0,"[0.05555555555555555,0.16666666666666666,0.16666666666666666]",2
235,Tojo,Ordinary - Registered,0.020833333333333332,0.75,0.0,12.0,Catch-upper,2,"[0.020833333333333332,0.75,0.0]",1
236,tomaz1961,Ordinary - Registered,0.05555555555555555,0.16666666666666666,0.16666666666666666,12.0,Follower,0,"[0.05555555555555555,0.16666666666666666,0.16666666666666666]",2
237,tomba,Ordinary - Registered,0.0617283950617284,0.4444444444444444,0.0,9.0,Follower,0,"[0.0617283950617284,0.4444444444444444,0.0]",1
238,Tome,Ordinary - Registered,0.10204081632653061,0.2857142857142857,0.0,7.0,Follower,0,"[0.10204081632653061,0.2857142857142857,0.0]",2
239,Tomica,Ordinary - Registered,0.14285714285714285,0.0,0.0,7.0,Follower,0,"[0.14285714285714285,0.0,0.0]",2
240,Tomislav Cipcic,Ordinary - Registered,0.0625,0.25,0.5,4.0,Independant,1,"[0.0625,0.25,0.5]",2
241,TonCa,Ordinary - Registered,0.02366863905325444,0.23076923076923078,0.46153846153846156,13.0,Mixed - No predominent behavior,3,"[0.02366863905325444,0.23076923076923078,0.46153846153846156]",2
242,toni88,Ordinary - Registered,0.020833333333333332,0.5,0.25,12.0,Catch-upper,2,"[0.020833333333333332,0.5,0.25]",1
243,Tpk,Ordinary - Registered,0.10204081632653061,0.14285714285714285,0.14285714285714285,7.0,Follower,0,"[0.10204081632653061,0.14285714285714285,0.14285714285714285]",2
244,Trojan,Ordinary - Registered,0.09876543209876543,0.0,0.1111111111111111,9.0,Follower,0,"[0.09876543209876543,0.0,0.1111111111111111]",2
245,Urle,Ordinary - Registered,0.00591715976331361,0.15384615384615385,0.7692307692307693,13.0,Independant,1,"[0.00591715976331361,0.15384615384615385,0.7692307692307693]",0
246,Urosv,Ordinary - Registered,0.06944444444444445,0.16666666666666666,0.0,12.0,Follower,0,"[0.06944444444444445,0.16666666666666666,0.0]",2
247,vanja123,Ordinary - Registered,0.12,0.4,0.0,5.0,Follower,0,"[0.12,0.4,0.0]",2
248,Vedran,Ordinary - Registered,0.04958677685950413,0.09090909090909091,0.36363636363636365,11.0,Follower,0,"[0.04958677685950413,0.09090909090909091,0.36363636363636365]",2
249,Vedran_499,Ordinary - Registered,0.061224489795918366,0.14285714285714285,0.42857142857142855,7.0,Mixed - No predominent behavior,3,"[0.061224489795918366,0.14285714285714285,0.42857142857142855]",2
250,vedrana,Ordinary - Registered,0.125,0.25,0.25,4.0,Follower,0,"[0.125,0.25,0.25]",2
251,vibord,Ordinary - Registered,0.01183431952662722,0.23076923076923078,0.6153846153846154,13.0,Independant,1,"[0.01183431952662722,0.23076923076923078,0.6153846153846154]",0
252,vid,Ordinary - Registered,0.024793388429752063,0.36363636363636365,0.36363636363636365,11.0,Mixed - No predominent behavior,3,"[0.024793388429752063,0.36363636363636365,0.36363636363636365]",2
253,Vido,Ordinary - Registered,0.125,0.5,0.0,4.0,Follower,0,"[0.125,0.5,0.0]",1
254,Vido Repanšek,Ordinary - Registered,0.1875,0.25,0.0,4.0,Follower,0,"[0.1875,0.25,0.0]",2
255,Viktor Vic,Ordinary - Registered,0.05785123966942149,0.09090909090909091,0.2727272727272727,11.0,Follower,0,"[0.05785123966942149,0.09090909090909091,0.2727272727272727]",2
256,vini,Ordinary - Registered,0.01,0.0,0.9,10.0,Independant,1,"[0.01,0.0,0.9]",0
257,Vlado,Ordinary - Registered,0.0743801652892562,0.0,0.18181818181818182,11.0,Follower,0,"[0.0743801652892562,0.0,0.18181818181818182]",2
258,Vlajko,Ordinary - Registered,0.01183431952662722,0.0,0.8461538461538461,13.0,Independant,1,"[0.01183431952662722,0.0,0.8461538461538461]",0
259,Vlasta Svetina,Ordinary - Registered,0.0,0.0,1.0,12.0,Independant,1,"[0.0,0.0,1.0]",0
260,wavemaker,Ordinary - Registered,0.034722222222222224,0.4166666666666667,0.16666666666666666,12.0,Mixed - No predominent behavior,3,"[0.034722222222222224,0.4166666666666667,0.16666666666666666]",2
261,x,Ordinary - Registered,0.0,0.0,1.0,10.0,Independant,1,"[0.0,0.0,1.0]",0
262,Žanetic,Ordinary - Registered,0.00591715976331361,0.46153846153846156,0.46153846153846156,13.0,Mixed - No predominent behavior,3,"[0.00591715976331361,0.46153846153846156,0.46153846153846156]",2
263,Zdenko,Ordinary - Registered,0.04,0.4,0.4,5.0,Mixed - No predominent behavior,3,"[0.04,0.4,0.4]",2
264,Zdenko Škrlj,Ordinary - Registered,0.02958579881656805,0.07692307692307693,0.5384615384615384,13.0,Independant,1,"[0.02958579881656805,0.07692307692307693,0.5384615384615384]",0
265,Zdravko,Ordinary - Registered,0.02366863905325444,0.15384615384615385,0.5384615384615384,13.0,Independant,1,"[0.02366863905325444,0.15384615384615385,0.5384615384615384]",0
266,Živko Joncic,Ordinary - Registered,0.00591715976331361,0.8461538461538461,0.07692307692307693,13.0,Catch-upper,2,"[0.00591715976331361,0.8461538461538461,0.07692307692307693]",1
267,zvjezdana,Ordinary - Registered,0.08,0.4,0.2,5.0,Mixed - No predominent behavior,3,"[0.08,0.4,0.2]",2
268,Zvonimir Matic,Ordinary - Registered,0.0625,0.75,0.0,4.0,Catch-upper,2,"[0.0625,0.75,0.0]",1
269,003136ec-fd3a-908e-de7e-45301e3b,Ordinary - Unregistered,0.08,0.6,0.0,5.0,Catch-upper,2,"[0.08,0.6,0.0]",1
270,0064c3fd-7e6e-425c-f754-34b889c8,Ordinary - Unregistered,0.0,0.0,1.0,6.0,Independant,1,"[0.0,0.0,1.0]",0
271,037820a7-a143-422c-3ebd-3553d373,Ordinary - Unregistered,0.02040816326530612,0.8571428571428571,0.0,7.0,Catch-upper,2,"[0.02040816326530612,0.8571428571428571,0.0]",1
272,04745589-295d-158e-c6c0-ef24f730,Ordinary - Unregistered,0.25,0.0,0.0,4.0,Follower,0,"[0.25,0.0,0.0]",2
273,04a7d779-f053-b1a3-386e-82d69979,Ordinary - Unregistered,0.0,0.0,1.0,7.0,Independant,1,"[0.0,0.0,1.0]",0
274,068616a9-816f-e8e4-d737-6ddba1df,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]",0
275,06f2e041-7a2d-a0ab-5f48-fd01f0a2,Ordinary - Unregistered,0.008264462809917356,0.9090909090909091,0.0,11.0,Catch-upper,2,"[0.008264462809917356,0.9090909090909091,0.0]",1
276,0781bbba-c179-f93c-1116-8d684911,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]",0
277,08ee9ac0-7656-2b25-ce41-b44d758e,Ordinary - Unregistered,0.25,0.0,0.0,4.0,Follower,0,"[0.25,0.0,0.0]",2
278,0a84077c-d3fa-56fc-803c-a863ca7e,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]",0
279,0c9621b0-ff94-77e8-727f-5420882d,Ordinary - Unregistered,0.16666666666666666,0.0,0.0,6.0,Follower,0,"[0.16666666666666666,0.0,0.0]",2
280,0e59235e-e51a-a5cd-e0ba-0fffe847,Ordinary - Unregistered,0.008264462809917356,0.9090909090909091,0.0,11.0,Catch-upper,2,"[0.008264462809917356,0.9090909090909091,0.0]",1
281,101c246c-3f77-d919-ca38-8d19141e,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]",0
282,10355f7a-f86a-830c-cbf1-fb3c40b6,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]",0
283,135b42ab-ac52-d14a-c37c-6ffeca28,Ordinary - Unregistered,0.0,0.0,1.0,8.0,Independant,1,"[0.0,0.0,1.0]",0
284,1459b8fd-ecab-4e30-1fc9-3d649648,Ordinary - Unregistered,0.02040816326530612,0.8571428571428571,0.0,7.0,Catch-upper,2,"[0.02040816326530612,0.8571428571428571,0.0]",1
285,1496b095-5b5f-4c47-5066-49bcf5d6,Ordinary - Unregistered,0.0625,0.75,0.0,4.0,Catch-upper,2,"[0.0625,0.75,0.0]",1
286,14a5fec5-bb5b-cac7-e40e-9a363e5c,Ordinary - Unregistered,0.0625,0.5,0.25,4.0,Catch-upper,2,"[0.0625,0.5,0.25]",1
287,16ba8f74-d9b7-c724-98c5-f31f43be,Ordinary - Unregistered,0.1388888888888889,0.16666666666666666,0.0,6.0,Follower,0,"[0.1388888888888889,0.16666666666666666,0.0]",2
288,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,Ordinary - Unregistered,0.015625,0.875,0.0,8.0,Catch-upper,2,"[0.015625,0.875,0.0]",1
289,195b9f52-3731-37a7-2c74-19d11cb6,Ordinary - Unregistered,0.0,0.0,1.0,7.0,Independant,1,"[0.0,0.0,1.0]",0
290,196bc15c-4aac-31e9-7c5d-3599ce10,Ordinary - Unregistered,0.04,0.0,0.8,5.0,Independant,1,"[0.04,0.0,0.8]",0
291,1acb1c12-47e9-e408-eaf9-8167947a,Ordinary - Unregistered,0.25,0.0,0.0,4.0,Follower,0,"[0.25,0.0,0.0]",2
292,1b1cd7ac-2f24-1493-5d7e-d7873af1,Ordinary - Unregistered,0.1875,0.0,0.25,4.0,Follower,0,"[0.1875,0.0,0.25]",2
293,1beb31a1-0aea-018e-a7e1-82085ffa,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]",0
294,1c09a110-d9c3-2442-9f5d-aee802c0,Ordinary - Unregistered,0.0625,0.75,0.0,4.0,Catch-upper,2,"[0.0625,0.75,0.0]",1
295,1cb07e56-7b73-0087-0a17-3e9c1f88,Ordinary - Unregistered,0.0625,0.5,0.0,8.0,Follower,0,"[0.0625,0.5,0.0]",1
296,1d3ed189-1162-0dd0-bcb2-fda83a50,Ordinary - Unregistered,0.1388888888888889,0.0,0.16666666666666666,6.0,Follower,0,"[0.1388888888888889,0.0,0.16666666666666666]",2
297,1d66d118-9cc1-c6cd-c61c-02ca2ddc,Ordinary - Unregistered,0.08,0.6,0.0,5.0,Catch-upper,2,"[0.08,0.6,0.0]",1
298,1d90b45b-4d8d-42a1-43cd-38e1a241,Ordinary - Unregistered,0.16,0.0,0.2,5.0,Follower,0,"[0.16,0.0,0.2]",2
299,1e81aa64-c3c9-ee4f-ce3c-c4248be0,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]",0
300,1f7f3fd7-7087-1461-cf43-9add2172,Ordinary - Unregistered,0.1875,0.25,0.0,4.0,Follower,0,"[0.1875,0.25,0.0]",2
301,1f96865d-62d4-b049-1788-cfccf324,Ordinary - Unregistered,0.25,0.0,0.0,4.0,Follower,0,"[0.25,0.0,0.0]",2
302,20e2fc85-7d0f-8a2c-b651-4b811a97,Ordinary - Unregistered,0.05555555555555555,0.16666666666666666,0.5,6.0,Mixed - No predominent behavior,3,"[0.05555555555555555,0.16666666666666666,0.5]",2
303,23e6f6c8-2cd0-ac1c-e8a1-f2338caa,Ordinary - Unregistered,0.006944444444444444,0.9166666666666666,0.0,12.0,Catch-upper,2,"[0.006944444444444444,0.9166666666666666,0.0]",1
304,258d2e1f-e3e8-2612-8285-895fb96d,Ordinary - Unregistered,0.1875,0.25,0.0,4.0,Follower,0,"[0.1875,0.25,0.0]",2
305,269144fa-ef0e-c81e-52ff-df9a348a,Ordinary - Unregistered,0.01775147928994083,0.6923076923076923,0.07692307692307693,13.0,Catch-upper,2,"[0.01775147928994083,0.6923076923076923,0.07692307692307693]",1
306,270174bf-baf8-aab4-48e3-139fcf47,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]",0
307,27080783-250a-3521-f816-6e7b29cf,Ordinary - Unregistered,0.2,0.0,0.0,5.0,Follower,0,"[0.2,0.0,0.0]",2
308,2c1d08f2-a1ba-6915-db46-1a7721b9,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]",0
309,2ee1d86b-74ed-47f3-5733-61cc4821,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]",0
310,2f7f0e40-1234-75db-2bcf-bdfbdfbc,Ordinary - Unregistered,0.16666666666666666,0.0,0.0,6.0,Follower,0,"[0.16666666666666666,0.0,0.0]",2
311,31a88be4-13ad-06c2-119c-3551a490,Ordinary - Unregistered,0.01,0.2,0.7,10.0,Independant,1,"[0.01,0.2,0.7]",0
312,3244a4c0-3f85-3017-5694-2f5647cb,Ordinary - Unregistered,0.12244897959183673,0.0,0.14285714285714285,7.0,Follower,0,"[0.12244897959183673,0.0,0.14285714285714285]",2
313,3447bacb-f54d-55c2-592f-3a3ff765,Ordinary - Unregistered,0.03125,0.75,0.0,8.0,Catch-upper,2,"[0.03125,0.75,0.0]",1
314,34a3d1d8-74eb-8a4e-0506-b9ca1551,Ordinary - Unregistered,0.0625,0.0,0.75,4.0,Independant,1,"[0.0625,0.0,0.75]",0
315,35813a40-7aa6-5336-237b-c93f1759,Ordinary - Unregistered,0.015625,0.875,0.0,8.0,Catch-upper,2,"[0.015625,0.875,0.0]",1
316,35ce5334-aefb-9a61-d1c3-7f01a776,Ordinary - Unregistered,0.015625,0.875,0.0,8.0,Catch-upper,2,"[0.015625,0.875,0.0]",1
317,35daa597-4591-5a82-57a9-1fba2635,Ordinary - Unregistered,0.25,0.0,0.0,4.0,Follower,0,"[0.25,0.0,0.0]",2
318,367365a7-8d2a-3b00-f3e3-f877be3c,Ordinary - Unregistered,0.04081632653061224,0.7142857142857143,0.0,7.0,Catch-upper,2,"[0.04081632653061224,0.7142857142857143,0.0]",1
319,3681eecc-7864-c1c1-0024-4d4234be,Ordinary - Unregistered,0.01,0.9,0.0,10.0,Catch-upper,2,"[0.01,0.9,0.0]",1
320,36a67ef1-5f22-7846-3f95-faec67c9,Ordinary - Unregistered,0.25,0.0,0.0,4.0,Follower,0,"[0.25,0.0,0.0]",2
321,37ada581-75c2-560e-2eb3-3db3a231,Ordinary - Unregistered,0.04,0.8,0.0,5.0,Catch-upper,2,"[0.04,0.8,0.0]",1
322,37d73652-37e1-cc5f-6c84-3b9a528c,Ordinary - Unregistered,0.1388888888888889,0.16666666666666666,0.0,6.0,Follower,0,"[0.1388888888888889,0.16666666666666666,0.0]",2
323,380773a6-f975-22c8-187e-e40fe702,Ordinary - Unregistered,0.1875,0.25,0.0,4.0,Follower,0,"[0.1875,0.25,0.0]",2
324,3be7d5a2-f78e-3472-e5ac-fa27ed08,Ordinary - Unregistered,0.0,0.0,1.0,6.0,Independant,1,"[0.0,0.0,1.0]",0
325,3c370e25-1bd5-c34b-ec40-31117752,Ordinary - Unregistered,0.0625,0.75,0.0,4.0,Catch-upper,2,"[0.0625,0.75,0.0]",1
326,3d524e1d-934c-6d53-022b-983c91c3,Ordinary - Unregistered,0.08,0.2,0.4,5.0,Mixed - No predominent behavior,3,"[0.08,0.2,0.4]",2
327,3d7d0f75-dda5-644d-e527-018ff340,Ordinary - Unregistered,0.008264462809917356,0.09090909090909091,0.8181818181818182,11.0,Independant,1,"[0.008264462809917356,0.09090909090909091,0.8181818181818182]",0
328,3dc06a27-afe4-b105-1f3c-997851c7,Ordinary - Unregistered,0.01652892561983471,0.7272727272727273,0.09090909090909091,11.0,Catch-upper,2,"[0.01652892561983471,0.7272727272727273,0.09090909090909091]",1
329,3e4346e0-6285-8776-f373-101eac22,Ordinary - Unregistered,0.2,0.0,0.0,5.0,Follower,0,"[0.2,0.0,0.0]",2
330,3e713aeb-dcb2-d6a8-962f-635df3e8,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]",0
