,user,cat,regularitynbFollowing,regularitynbCatchup,regularitynbIndependant,nbVideos,regularitybehavior,regularityClasses,features,prediction
331,3fc2e2fe-697a-3255-1a17-4204819d,Ordinary - Unregistered,0.0625,0.5,0.0,8.0,Follower,0,"[0.0625,0.5,0.0]",1
332,404bc704-6703-c3c0-815e-55c756c5,Ordinary - Unregistered,0.109375,0.0,0.125,8.0,Follower,0,"[0.109375,0.0,0.125]",2
333,4196e8ee-e405-a1e1-4a7f-7d9149a5,Ordinary - Unregistered,0.0625,0.75,0.0,4.0,Catch-upper,2,"[0.0625,0.75,0.0]",1
334,42779e7e-90bc-7eac-5aa8-a9874f90,Ordinary - Unregistered,0.03305785123966942,0.2727272727272727,0.36363636363636365,11.0,Mixed - No predominent behavior,3,"[0.03305785123966942,0.2727272727272727,0.36363636363636365]",2
335,440d90ef-c7d7-0530-608e-8c0fc440,Ordinary - Unregistered,0.10204081632653061,0.2857142857142857,0.0,7.0,Follower,0,"[0.10204081632653061,0.2857142857142857,0.0]",2
336,459f5319-edaf-cd53-126d-fdfb12a5,Ordinary - Unregistered,0.25,0.0,0.0,4.0,Follower,0,"[0.25,0.0,0.0]",2
337,45d78fe4-7d30-3b18-371e-57bb06c7,Ordinary - Unregistered,0.012345679012345678,0.8888888888888888,0.0,9.0,Catch-upper,2,"[0.012345679012345678,0.8888888888888888,0.0]",1
338,4641102c-f3d3-3878-6d00-1c49a28c,Ordinary - Unregistered,0.024793388429752063,0.09090909090909091,0.6363636363636364,11.0,Independant,1,"[0.024793388429752063,0.09090909090909091,0.6363636363636364]",0
339,4a97a9b2-74fe-c9f3-625f-0176bddf,Ordinary - Unregistered,0.05555555555555555,0.0,0.6666666666666666,6.0,Independant,1,"[0.05555555555555555,0.0,0.6666666666666666]",0
340,4b21d918-4ac0-0787-3094-37c9432c,Ordinary - Unregistered,0.04132231404958678,0.5454545454545454,0.0,11.0,Catch-upper,2,"[0.04132231404958678,0.5454545454545454,0.0]",1
341,4bd540f6-e34d-4592-7680-b2735389,Ordinary - Unregistered,0.16666666666666666,0.0,0.0,6.0,Follower,0,"[0.16666666666666666,0.0,0.0]",2
342,4c4ac589-35f5-76e3-d0a3-fedab6c6,Ordinary - Unregistered,0.0625,0.25,0.25,8.0,Follower,0,"[0.0625,0.25,0.25]",2
343,4cc576c8-f218-94be-fef3-4b6fd86e,Ordinary - Unregistered,0.02366863905325444,0.3076923076923077,0.38461538461538464,13.0,Mixed - No predominent behavior,3,"[0.02366863905325444,0.3076923076923077,0.38461538461538464]",2
344,4d0232bc-202c-ee3a-e58c-e543848c,Ordinary - Unregistered,0.10204081632653061,0.0,0.2857142857142857,7.0,Follower,0,"[0.10204081632653061,0.0,0.2857142857142857]",2
345,4debb215-7398-77ba-2243-94adbd31,Ordinary - Unregistered,0.012345679012345678,0.0,0.8888888888888888,9.0,Independant,1,"[0.012345679012345678,0.0,0.8888888888888888]",0
346,4f3771bf-0850-3813-5de9-d0592e66,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]",0
347,502b50b6-08fa-b922-9bb6-dbd4d848,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]",0
348,53cb26b0-7222-8eb4-ef0d-29e7a801,Ordinary - Unregistered,0.04,0.8,0.0,5.0,Catch-upper,2,"[0.04,0.8,0.0]",1
349,5409088d-b542-9cac-7fac-9ab00271,Ordinary - Unregistered,0.020833333333333332,0.75,0.0,12.0,Catch-upper,2,"[0.020833333333333332,0.75,0.0]",1
350,5414140f-2888-40b9-e1e2-7984f327,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]",0
351,54e1c86d-b289-f693-e3a3-5d393778,Ordinary - Unregistered,0.1388888888888889,0.16666666666666666,0.0,6.0,Follower,0,"[0.1388888888888889,0.16666666666666666,0.0]",2
352,554558f4-55fd-07df-ddb3-309239ad,Ordinary - Unregistered,0.125,0.0,0.5,4.0,Follower,0,"[0.125,0.0,0.5]",0
353,56a4a9a0-7ab4-0a76-0621-b118321b,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]",0
354,57b97824-05f2-21af-72f1-95f7d697,Ordinary - Unregistered,0.015625,0.5,0.375,8.0,Catch-upper,2,"[0.015625,0.5,0.375]",1
355,5bfa22fd-175f-02d2-c446-36369a81,Ordinary - Unregistered,0.008264462809917356,0.0,0.9090909090909091,11.0,Independant,1,"[0.008264462809917356,0.0,0.9090909090909091]",0
356,5d557ed3-ce5e-24e4-a66e-aa966d6c,Ordinary - Unregistered,0.125,0.25,0.25,4.0,Follower,0,"[0.125,0.25,0.25]",2
357,5e97ad83-2b2c-529e-f831-deac0066,Ordinary - Unregistered,0.04,0.6,0.2,5.0,Catch-upper,2,"[0.04,0.6,0.2]",1
358,5fad3306-616d-9b57-3411-75efa34d,Ordinary - Unregistered,0.05555555555555555,0.3333333333333333,0.3333333333333333,6.0,Mixed - No predominent behavior,3,"[0.05555555555555555,0.3333333333333333,0.3333333333333333]",2
359,600fadb1-9f64-3bf4-b14c-378c45ae,Ordinary - Unregistered,0.04132231404958678,0.0,0.5454545454545454,11.0,Independant,1,"[0.04132231404958678,0.0,0.5454545454545454]",0
360,6408c27b-ab13-d145-5b44-24f30202,Ordinary - Unregistered,0.0625,0.75,0.0,4.0,Catch-upper,2,"[0.0625,0.75,0.0]",1
361,6613f3e0-2e08-24f1-52ba-bfab8807,Ordinary - Unregistered,0.012345679012345678,0.8888888888888888,0.0,9.0,Catch-upper,2,"[0.012345679012345678,0.8888888888888888,0.0]",1
362,6809fd15-56b5-3424-e33d-88eb107c,Ordinary - Unregistered,0.04,0.8,0.0,5.0,Catch-upper,2,"[0.04,0.8,0.0]",1
363,6a9b69a1-5f2e-6aea-63d9-0e9d77c1,Ordinary - Unregistered,0.12244897959183673,0.14285714285714285,0.0,7.0,Follower,0,"[0.12244897959183673,0.14285714285714285,0.0]",2
364,6c86b1d0-fd95-c414-78d2-9495251b,Ordinary - Unregistered,0.16,0.2,0.0,5.0,Follower,0,"[0.16,0.2,0.0]",2
365,6e25573c-8b7b-a2e7-a782-480ddb63,Ordinary - Unregistered,0.0625,0.25,0.5,4.0,Independant,1,"[0.0625,0.25,0.5]",2
366,6f168bc8-c816-a359-ba88-da8c663d,Ordinary - Unregistered,0.015625,0.75,0.125,8.0,Catch-upper,2,"[0.015625,0.75,0.125]",1
367,6f359ebe-9f0a-2bae-a27a-c4ec1712,Ordinary - Unregistered,0.08333333333333333,0.5,0.0,6.0,Mixed - No predominent behavior,3,"[0.08333333333333333,0.5,0.0]",1
368,6f99bc0c-a871-5dd6-80cb-22296ada,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]",0
369,70eacff4-a340-e4fd-746a-807b58c3,Ordinary - Unregistered,0.013888888888888888,0.4166666666666667,0.4166666666666667,12.0,Mixed - No predominent behavior,3,"[0.013888888888888888,0.4166666666666667,0.4166666666666667]",2
370,74105285-3bd1-71b2-bb2b-df56e6f7,Ordinary - Unregistered,0.0625,0.5,0.25,4.0,Catch-upper,2,"[0.0625,0.5,0.25]",1
371,74df8aff-e884-bc0d-7710-a23afc0d,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]",0
372,7550652e-a184-e590-1205-03d91e86,Ordinary - Unregistered,0.2,0.0,0.0,5.0,Follower,0,"[0.2,0.0,0.0]",2
373,755f4b52-e48e-eda7-42c0-2dabd3cf,Ordinary - Unregistered,0.05555555555555555,0.16666666666666666,0.5,6.0,Mixed - No predominent behavior,3,"[0.05555555555555555,0.16666666666666666,0.5]",2
374,75bece44-7ed0-9de1-f411-854abe3b,Ordinary - Unregistered,0.125,0.0,0.5,4.0,Follower,0,"[0.125,0.0,0.5]",0
375,77d5ac07-0cfc-ac01-e741-58dae777,Ordinary - Unregistered,0.0,0.0,1.0,8.0,Independant,1,"[0.0,0.0,1.0]",0
376,78928b9d-af19-1353-e439-c5b1d36f,Ordinary - Unregistered,0.04,0.8,0.0,5.0,Catch-upper,2,"[0.04,0.8,0.0]",1
377,78f08216-f3b9-62f6-7676-e8f9b3e2,Ordinary - Unregistered,0.12,0.4,0.0,5.0,Follower,0,"[0.12,0.4,0.0]",2
378,7b7820c3-5040-cdf4-4448-bacd9426,Ordinary - Unregistered,0.012345679012345678,0.8888888888888888,0.0,9.0,Catch-upper,2,"[0.012345679012345678,0.8888888888888888,0.0]",1
379,7c6856f2-bacb-4be2-61d0-ba4bf284,Ordinary - Unregistered,0.16,0.2,0.0,5.0,Follower,0,"[0.16,0.2,0.0]",2
380,7d0acedd-f795-6e39-b508-3eea42ac,Ordinary - Unregistered,0.12244897959183673,0.0,0.14285714285714285,7.0,Follower,0,"[0.12244897959183673,0.0,0.14285714285714285]",2
381,80e6c3aa-f56c-4679-d623-79d6fd2d,Ordinary - Unregistered,0.0625,0.0,0.75,4.0,Independant,1,"[0.0625,0.0,0.75]",0
382,85d4f155-5a13-7eb1-4d96-5c0b6e30,Ordinary - Unregistered,0.00591715976331361,0.7692307692307693,0.15384615384615385,13.0,Catch-upper,2,"[0.00591715976331361,0.7692307692307693,0.15384615384615385]",1
383,8a2e2082-7444-5533-6931-1b05fd88,Ordinary - Unregistered,0.02040816326530612,0.5714285714285714,0.2857142857142857,7.0,Catch-upper,2,"[0.02040816326530612,0.5714285714285714,0.2857142857142857]",1
384,8a68d73e-17f5-4571-ef15-e1d03878,Ordinary - Unregistered,0.01,0.1,0.8,10.0,Independant,1,"[0.01,0.1,0.8]",0
385,8a6d88da-00af-01eb-e85b-db817e28,Ordinary - Unregistered,0.03125,0.5,0.25,8.0,Catch-upper,2,"[0.03125,0.5,0.25]",1
386,8ae29d55-64a1-1cf2-962b-4a35e380,Ordinary - Unregistered,0.01,0.5,0.4,10.0,Mixed - No predominent behavior,3,"[0.01,0.5,0.4]",1
387,8c7bdf99-8cda-02c4-7ccf-ad45ef8a,Ordinary - Unregistered,0.0,0.0,1.0,13.0,Independant,1,"[0.0,0.0,1.0]",0
388,8cedbb4b-6088-0b3c-fc04-ad8ce093,Ordinary - Unregistered,0.012345679012345678,0.4444444444444444,0.4444444444444444,9.0,Mixed - No predominent behavior,3,"[0.012345679012345678,0.4444444444444444,0.4444444444444444]",2
389,8f38fcd5-8798-9850-2359-5268418e,Ordinary - Unregistered,0.015625,0.375,0.5,8.0,Independant,1,"[0.015625,0.375,0.5]",2
390,9187a2a4-6ffb-f4f5-f012-df8a1141,Ordinary - Unregistered,0.1875,0.0,0.25,4.0,Follower,0,"[0.1875,0.0,0.25]",2
391,92d86eda-129e-0d8c-0a73-835acef9,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]",0
392,9627fef7-14c0-4a88-0954-9cf43b68,Ordinary - Unregistered,0.012345679012345678,0.0,0.8888888888888888,9.0,Independant,1,"[0.012345679012345678,0.0,0.8888888888888888]",0
393,97372a43-0a6d-3145-e63f-0202242e,Ordinary - Unregistered,0.027777777777777776,0.0,0.8333333333333334,6.0,Independant,1,"[0.027777777777777776,0.0,0.8333333333333334]",0
394,97f93288-c344-0f1f-19c0-14aff5aa,Ordinary - Unregistered,0.07407407407407407,0.0,0.3333333333333333,9.0,Follower,0,"[0.07407407407407407,0.0,0.3333333333333333]",2
395,98599cc0-703a-b3be-34dc-7bcf7e6a,Ordinary - Unregistered,0.015625,0.875,0.0,8.0,Catch-upper,2,"[0.015625,0.875,0.0]",1
396,987749e2-fc0f-96db-2aa7-7df33e6d,Ordinary - Unregistered,0.125,0.5,0.0,4.0,Follower,0,"[0.125,0.5,0.0]",1
397,991dbd0d-8c68-1ed6-f469-0348585f,Ordinary - Unregistered,0.12244897959183673,0.0,0.14285714285714285,7.0,Follower,0,"[0.12244897959183673,0.0,0.14285714285714285]",2
398,9946a658-3dc0-f680-6e04-89182b0f,Ordinary - Unregistered,0.027777777777777776,0.16666666666666666,0.6666666666666666,6.0,Independant,1,"[0.027777777777777776,0.16666666666666666,0.6666666666666666]",0
399,999f9f91-e880-70f1-00d3-e8994609,Ordinary - Unregistered,0.046875,0.125,0.5,8.0,Independant,1,"[0.046875,0.125,0.5]",0
400,99d9bce0-1f7d-da02-6d84-afe0122e,Ordinary - Unregistered,0.02040816326530612,0.7142857142857143,0.14285714285714285,7.0,Catch-upper,2,"[0.02040816326530612,0.7142857142857143,0.14285714285714285]",1
401,9c5c43e2-3def-6e8f-844e-4ee72d08,Ordinary - Unregistered,0.0,0.0,1.0,8.0,Independant,1,"[0.0,0.0,1.0]",0
402,9cc2cc33-730e-86eb-e910-ff1ec6fd,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]",0
403,9dfba79f-46d5-9b68-3a28-dff09283,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]",0
404,9e184ea2-45e6-abdb-90a9-fb5b011b,Ordinary - Unregistered,0.013888888888888888,0.25,0.5833333333333334,12.0,Independant,1,"[0.013888888888888888,0.25,0.5833333333333334]",0
405,a070cc15-8fb3-b7eb-834d-d191a652,Ordinary - Unregistered,0.0625,0.0,0.75,4.0,Independant,1,"[0.0625,0.0,0.75]",0
406,a134cb86-69ed-3ceb-ab8b-42799b5f,Ordinary - Unregistered,0.02040816326530612,0.14285714285714285,0.7142857142857143,7.0,Independant,1,"[0.02040816326530612,0.14285714285714285,0.7142857142857143]",0
407,a1ac05b8-d131-07d0-f419-28c0d19a,Ordinary - Unregistered,0.01183431952662722,0.8461538461538461,0.0,13.0,Catch-upper,2,"[0.01183431952662722,0.8461538461538461,0.0]",1
408,a1b9f7ef-402c-6b05-11c1-33d65f47,Ordinary - Unregistered,0.0,0.0,1.0,8.0,Independant,1,"[0.0,0.0,1.0]",0
409,a4793f2a-58de-2b33-168f-32424641,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]",0
410,a55e8048-fa92-f072-72e3-bbf2ba61,Ordinary - Unregistered,0.16666666666666666,0.0,0.0,6.0,Follower,0,"[0.16666666666666666,0.0,0.0]",2
411,a7010942-2bf9-c022-3897-796a718f,Ordinary - Unregistered,0.04,0.6,0.2,5.0,Catch-upper,2,"[0.04,0.6,0.2]",1
412,a898d118-8b18-a02c-ae58-2a774d5f,Ordinary - Unregistered,0.02040816326530612,0.2857142857142857,0.5714285714285714,7.0,Independant,1,"[0.02040816326530612,0.2857142857142857,0.5714285714285714]",0
413,a932ede5-1443-cb58-2838-6a6efc0a,Ordinary - Unregistered,0.16666666666666666,0.0,0.0,6.0,Follower,0,"[0.16666666666666666,0.0,0.0]",2
414,a96e9db0-5940-66d7-4a98-2379b34d,Ordinary - Unregistered,0.04,0.0,0.8,5.0,Independant,1,"[0.04,0.0,0.8]",0
415,a98a0de3-d8ed-675c-b2d4-ac776c7b,Ordinary - Unregistered,0.16666666666666666,0.0,0.0,6.0,Follower,0,"[0.16666666666666666,0.0,0.0]",2
416,a997f5a7-10f2-8566-1c1d-559b423c,Ordinary - Unregistered,0.01183431952662722,0.6153846153846154,0.23076923076923078,13.0,Catch-upper,2,"[0.01183431952662722,0.6153846153846154,0.23076923076923078]",1
417,abcc36e1-adfa-f564-04d4-d632273a,Ordinary - Unregistered,0.05555555555555555,0.3333333333333333,0.3333333333333333,6.0,Mixed - No predominent behavior,3,"[0.05555555555555555,0.3333333333333333,0.3333333333333333]",2
418,abda0840-539e-d7ad-7f3c-e3005350,Ordinary - Unregistered,0.08163265306122448,0.42857142857142855,0.0,7.0,Follower,0,"[0.08163265306122448,0.42857142857142855,0.0]",1
419,abe4e05a-6e7f-9b91-6fc2-255d8ca8,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]",0
420,ad50ec3a-b5fa-441c-dff6-68962309,Ordinary - Unregistered,0.0625,0.75,0.0,4.0,Catch-upper,2,"[0.0625,0.75,0.0]",1
421,af82af91-5c05-62ed-d5f4-ab452057,Ordinary - Unregistered,0.015625,0.375,0.5,8.0,Independant,1,"[0.015625,0.375,0.5]",2
422,b203a259-8fca-f544-f793-7196165c,Ordinary - Unregistered,0.0,0.0,1.0,8.0,Independant,1,"[0.0,0.0,1.0]",0
423,b341bfef-bd17-e48f-e3c6-71e45a3b,Ordinary - Unregistered,0.015625,0.875,0.0,8.0,Catch-upper,2,"[0.015625,0.875,0.0]",1
424,b3ed71c3-f69d-be41-8e55-61063ba5,Ordinary - Unregistered,0.0625,0.75,0.0,4.0,Catch-upper,2,"[0.0625,0.75,0.0]",1
425,b4317fab-f533-bf46-11da-30745ab3,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]",0
426,b51ab28b-c73d-4a8a-b819-1193d14b,Ordinary - Unregistered,0.04958677685950413,0.2727272727272727,0.18181818181818182,11.0,Follower,0,"[0.04958677685950413,0.2727272727272727,0.18181818181818182]",2
427,bbed801c-180e-99dc-7c6b-4a6ce07e,Ordinary - Unregistered,0.1875,0.0,0.25,4.0,Follower,0,"[0.1875,0.0,0.25]",2
428,bc165eba-99d1-fcf2-3c18-7b8ddbe3,Ordinary - Unregistered,0.0,0.0,1.0,9.0,Independant,1,"[0.0,0.0,1.0]",0
429,bc59fb83-de20-c8dc-0046-06b5a884,Ordinary - Unregistered,0.027777777777777776,0.8333333333333334,0.0,6.0,Catch-upper,2,"[0.027777777777777776,0.8333333333333334,0.0]",1
430,bde2c3b9-096f-3106-3105-39e3c690,Ordinary - Unregistered,0.0,0.0,1.0,9.0,Independant,1,"[0.0,0.0,1.0]",0
431,be7e4626-8ea8-e4e7-bd98-df4d6b7e,Ordinary - Unregistered,0.12,0.4,0.0,5.0,Follower,0,"[0.12,0.4,0.0]",2
432,be8f96e0-decb-0d0f-f5a0-da9a731a,Ordinary - Unregistered,0.2,0.0,0.0,5.0,Follower,0,"[0.2,0.0,0.0]",2
433,bf2d4ca4-7b76-c83f-c25b-69db4d40,Ordinary - Unregistered,0.0,0.0,1.0,11.0,Independant,1,"[0.0,0.0,1.0]",0
434,c0a279eb-433f-7d20-4fe4-30c7bf1d,Ordinary - Unregistered,0.0,0.0,1.0,7.0,Independant,1,"[0.0,0.0,1.0]",0
435,c0e4f1b6-286e-9a62-9b55-08b882ec,Ordinary - Unregistered,0.01775147928994083,0.0,0.7692307692307693,13.0,Independant,1,"[0.01775147928994083,0.0,0.7692307692307693]",0
436,c0f2c451-9f22-3dc5-b0ab-d6747910,Ordinary - Unregistered,0.01,0.9,0.0,10.0,Catch-upper,2,"[0.01,0.9,0.0]",1
437,c1b850ff-362a-890f-0c23-014773bb,Ordinary - Unregistered,0.013888888888888888,0.8333333333333334,0.0,12.0,Catch-upper,2,"[0.013888888888888888,0.8333333333333334,0.0]",1
438,c24334a0-477a-6656-021d-668ba57f,Ordinary - Unregistered,0.0,0.0,1.0,7.0,Independant,1,"[0.0,0.0,1.0]",0
439,c3385c79-a01d-377d-9eac-6cf460e9,Ordinary - Unregistered,0.015625,0.125,0.75,8.0,Independant,1,"[0.015625,0.125,0.75]",0
440,c9f74898-df82-973e-76ca-08186d7c,Ordinary - Unregistered,0.027777777777777776,0.8333333333333334,0.0,6.0,Catch-upper,2,"[0.027777777777777776,0.8333333333333334,0.0]",1
441,cc1e5f29-a1bd-4a13-5c8d-dbcaa11b,Ordinary - Unregistered,0.027777777777777776,0.6666666666666666,0.16666666666666666,6.0,Catch-upper,2,"[0.027777777777777776,0.6666666666666666,0.16666666666666666]",1
442,ce280b9f-f7cf-eef4-dd34-fdc44bfe,Ordinary - Unregistered,0.0625,0.25,0.5,4.0,Independant,1,"[0.0625,0.25,0.5]",2
443,ce4913ec-b21e-60b6-d455-4bc5b2b4,Ordinary - Unregistered,0.1875,0.25,0.0,4.0,Follower,0,"[0.1875,0.25,0.0]",2
444,ceff0481-0e5a-e1d8-5361-b5ba2a52,Ordinary - Unregistered,0.07407407407407407,0.0,0.3333333333333333,9.0,Follower,0,"[0.07407407407407407,0.0,0.3333333333333333]",2
445,cf23b843-3219-15e7-f878-361bbfeb,Ordinary - Unregistered,0.027777777777777776,0.8333333333333334,0.0,6.0,Catch-upper,2,"[0.027777777777777776,0.8333333333333334,0.0]",1
446,d0fe3bbe-eeeb-e784-986f-51c01c74,Ordinary - Unregistered,0.16666666666666666,0.0,0.0,6.0,Follower,0,"[0.16666666666666666,0.0,0.0]",2
447,d2a78c5a-c501-ea53-1bcf-2fedb47d,Ordinary - Unregistered,0.04938271604938271,0.1111111111111111,0.4444444444444444,9.0,Mixed - No predominent behavior,3,"[0.04938271604938271,0.1111111111111111,0.4444444444444444]",2
448,d41a406c-81b7-dca2-962a-a408e155,Ordinary - Unregistered,0.0625,0.75,0.0,4.0,Catch-upper,2,"[0.0625,0.75,0.0]",1
449,d424420a-72ee-7166-ac7e-9b96c0e6,Ordinary - Unregistered,0.015625,0.0,0.875,8.0,Independant,1,"[0.015625,0.0,0.875]",0
450,d4ca59b9-1058-6388-4cc5-e58c2290,Ordinary - Unregistered,0.1388888888888889,0.0,0.16666666666666666,6.0,Follower,0,"[0.1388888888888889,0.0,0.16666666666666666]",2
451,d5d7fee4-5428-bea3-17aa-30fb97f1,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]",0
452,d6458839-e410-c16f-44d7-7aad9b6b,Ordinary - Unregistered,0.008264462809917356,0.9090909090909091,0.0,11.0,Catch-upper,2,"[0.008264462809917356,0.9090909090909091,0.0]",1
453,d80b6775-ae61-8dae-98ce-99412037,Ordinary - Unregistered,0.0625,0.75,0.0,4.0,Catch-upper,2,"[0.0625,0.75,0.0]",1
454,d89aba44-424b-9d5d-5dd4-f1fbabf1,Ordinary - Unregistered,0.01652892561983471,0.8181818181818182,0.0,11.0,Catch-upper,2,"[0.01652892561983471,0.8181818181818182,0.0]",1
455,d92b593e-555f-9b3b-4007-752ea02c,Ordinary - Unregistered,0.0,0.0,1.0,8.0,Independant,1,"[0.0,0.0,1.0]",0
456,d964c832-c32d-77ff-672a-1cf12f7e,Ordinary - Unregistered,0.012345679012345678,0.8888888888888888,0.0,9.0,Catch-upper,2,"[0.012345679012345678,0.8888888888888888,0.0]",1
457,daf25c41-8b84-6414-7646-b7df2abd,Ordinary - Unregistered,0.015625,0.875,0.0,8.0,Catch-upper,2,"[0.015625,0.875,0.0]",1
458,db98a0d9-3d4f-4219-b27d-74a44a01,Ordinary - Unregistered,0.2,0.0,0.0,5.0,Follower,0,"[0.2,0.0,0.0]",2
459,dd30c478-d26e-3f37-f395-b912bead,Ordinary - Unregistered,0.012345679012345678,0.8888888888888888,0.0,9.0,Catch-upper,2,"[0.012345679012345678,0.8888888888888888,0.0]",1
460,de14f7c6-1844-4e1b-bb5c-16ceef86,Ordinary - Unregistered,0.2,0.0,0.0,5.0,Follower,0,"[0.2,0.0,0.0]",2
461,dfc849d9-7793-4345-d533-579da01b,Ordinary - Unregistered,0.024793388429752063,0.0,0.7272727272727273,11.0,Independant,1,"[0.024793388429752063,0.0,0.7272727272727273]",0
462,e091c85e-d8a5-ed63-dfdb-631d4614,Ordinary - Unregistered,0.1875,0.0,0.25,4.0,Follower,0,"[0.1875,0.0,0.25]",2
463,e3485d79-4f92-1fff-4e64-56943e9b,Ordinary - Unregistered,0.04,0.6,0.0,10.0,Catch-upper,2,"[0.04,0.6,0.0]",1
464,e65e8c36-5f2d-131d-9602-cd643f97,Ordinary - Unregistered,0.0,0.0,1.0,8.0,Independant,1,"[0.0,0.0,1.0]",0
465,e74ddfe8-97b1-613e-1495-f884f58c,Ordinary - Unregistered,0.25,0.0,0.0,4.0,Follower,0,"[0.25,0.0,0.0]",2
466,e88cc767-fc0d-54d4-243a-4479ebf9,Ordinary - Unregistered,0.02040816326530612,0.2857142857142857,0.5714285714285714,7.0,Independant,1,"[0.02040816326530612,0.2857142857142857,0.5714285714285714]",0
467,e9822752-a8af-cf42-1ddc-d2518ca8,Ordinary - Unregistered,0.024691358024691357,0.5555555555555556,0.2222222222222222,9.0,Catch-upper,2,"[0.024691358024691357,0.5555555555555556,0.2222222222222222]",1
468,e99d6a57-d572-b7f6-34cf-3ac76f24,Ordinary - Unregistered,0.16666666666666666,0.0,0.0,6.0,Follower,0,"[0.16666666666666666,0.0,0.0]",2
469,eb9864df-c827-4027-9de4-5829eee9,Ordinary - Unregistered,0.024793388429752063,0.6363636363636364,0.09090909090909091,11.0,Catch-upper,2,"[0.024793388429752063,0.6363636363636364,0.09090909090909091]",1
470,eba3b0ea-3aeb-a6e3-8df6-742db8a0,Ordinary - Unregistered,0.02040816326530612,0.42857142857142855,0.42857142857142855,7.0,Mixed - No predominent behavior,3,"[0.02040816326530612,0.42857142857142855,0.42857142857142855]",2
471,ebdd7e01-09f4-dbf1-8a08-602d0001,Ordinary - Unregistered,0.25,0.0,0.0,4.0,Follower,0,"[0.25,0.0,0.0]",2
472,ed71098a-9600-3bac-4cca-70ce0496,Ordinary - Unregistered,0.25,0.0,0.0,4.0,Follower,0,"[0.25,0.0,0.0]",2
473,ed71bd28-a732-78c0-de66-e32f77c8,Ordinary - Unregistered,0.25,0.0,0.0,4.0,Follower,0,"[0.25,0.0,0.0]",2
474,edcaf7c0-7593-61d2-f4e9-689b8340,Ordinary - Unregistered,0.05555555555555555,0.6666666666666666,0.0,6.0,Catch-upper,2,"[0.05555555555555555,0.6666666666666666,0.0]",1
475,ef70bde5-8a4d-68a0-4f26-e5253d2c,Ordinary - Unregistered,0.0625,0.75,0.0,4.0,Catch-upper,2,"[0.0625,0.75,0.0]",1
476,f2a9ccb0-9831-6d2a-6254-8f0366c9,Ordinary - Unregistered,0.027777777777777776,0.16666666666666666,0.6666666666666666,6.0,Independant,1,"[0.027777777777777776,0.16666666666666666,0.6666666666666666]",0
477,f4bf52fc-cffa-0f52-f4f9-2eff92fc,Ordinary - Unregistered,0.0625,0.75,0.0,4.0,Catch-upper,2,"[0.0625,0.75,0.0]",1
478,f5196f35-183f-1d55-1883-5fef618e,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]",0
479,f6956137-aec3-29d6-ad64-d870e209,Ordinary - Unregistered,0.061224489795918366,0.2857142857142857,0.2857142857142857,7.0,Mixed - No predominent behavior,3,"[0.061224489795918366,0.2857142857142857,0.2857142857142857]",2
480,f6c2c059-c90e-1566-cc25-b0823249,Ordinary - Unregistered,0.01,0.9,0.0,10.0,Catch-upper,2,"[0.01,0.9,0.0]",1
481,f6cd37ab-4add-fb6f-20c2-2374f109,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]",0
482,f83fd099-8c89-2894-3a91-bb38be88,Ordinary - Unregistered,0.046875,0.625,0.0,8.0,Catch-upper,2,"[0.046875,0.625,0.0]",1
483,f8c2bef5-12f7-05a2-39e8-43daff7b,Ordinary - Unregistered,0.0,0.0,1.0,6.0,Independant,1,"[0.0,0.0,1.0]",0
484,f8f5aa96-ff9b-eb8f-c3dc-06293d3f,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]",0
485,fcb83a6e-9298-b96c-29e5-c217b27f,Ordinary - Unregistered,0.02040816326530612,0.14285714285714285,0.7142857142857143,7.0,Independant,1,"[0.02040816326530612,0.14285714285714285,0.7142857142857143]",0
486,ff3d026c-5e45-1835-2b58-e6308d38,Ordinary - Unregistered,0.0625,0.75,0.0,4.0,Catch-upper,2,"[0.0625,0.75,0.0]",1
487,ff549000-a9c8-4964-1ece-6923a32e,Ordinary - Unregistered,0.12,0.4,0.0,5.0,Follower,0,"[0.12,0.4,0.0]",2
