,users,intensityNormalized,order,freq,pcaInput,_1,_2,features,prediction
0,AB,0.027777777777777773,1.0,0.75,"[0.027777777777777773,1.0,0.75]",0.7538809625328782,0.9885915165681397,"[0.7538809625328782,0.9885915165681397]",3
1,Albert,0.025000000000000005,0.9166666666666666,0.7692307692307693,"[0.025000000000000005,0.9166666666666666,0.7692307692307693]",0.766464986987486,0.9064640019768267,"[0.766464986987486,0.9064640019768267]",3
2,Aleksander Valant,0.5833333333333334,1.0,0.125,"[0.5833333333333334,1.0,0.125]",-0.03459060763976764,1.096855576658519,"[-0.03459060763976764,1.096855576658519]",1
3,Aleksandra,0.4166666666666667,0.9090909090909092,0.0,"[0.4166666666666667,0.9090909090909092,0.0]",-0.09243754712633102,0.973969669724899,"[-0.09243754712633102,0.973969669724899]",1
4,alenka dornik,0.04166666666666666,0.7272727272727273,0.4166666666666667,"[0.04166666666666666,0.7272727272727273,0.4166666666666667]",0.42149646913558814,0.7227136130460683,"[0.42149646913558814,0.7227136130460683]",2
5,Alenka Neudauer,0.007575757575757569,1.0,0.9166666666666666,"[0.007575757575757569,1.0,0.9166666666666666]",0.9150428991957777,0.9852667201548742,"[0.9150428991957777,0.9852667201548742]",3
6,alesj,0.05555555555555556,0.75,0.6,"[0.05555555555555556,0.75,0.6]",0.5866038550986568,0.7485357105676298,"[0.5866038550986568,0.7485357105676298]",2
7,alexhana,0.02083333333333333,0.75,0.4,"[0.02083333333333333,0.75,0.4]",0.4158362104952095,0.7407526330152656,"[0.4158362104952095,0.7407526330152656]",2
8,alja,0.0119047619047619,1.0,0.875,"[0.0119047619047619,1.0,0.875]",0.8750292786506345,0.9859538650122647,"[0.8750292786506345,0.9859538650122647]",3
9,Alja��,0.00833333333333334,0.8,0.2727272727272727,"[0.00833333333333334,0.8,0.2727272727272727]",0.30719342070514655,0.7867084958014079,"[0.30719342070514655,0.7867084958014079]",0
10,alma,0.2916666666666667,1.0,0.0,"[0.2916666666666667,1.0,0.0]",-0.03772580548461167,1.0380901058885372,"[-0.03772580548461167,1.0380901058885372]",1
11,amanita.amanita,0.13333333333333333,0.3333333333333333,0.2307692307692308,"[0.13333333333333333,0.3333333333333333,0.2307692307692308]",0.18598121461494752,0.3542212583438253,"[0.18598121461494752,0.3542212583438253]",0
12,Ana Horvath,0.0,0.75,0.6,"[0.0,0.75,0.6]",0.6079223538834408,0.737443533631346,"[0.6079223538834408,0.737443533631346]",2
13,Ana Stadler,0.08333333333333333,1.0,0.25,"[0.08333333333333333,1.0,0.25]",0.2723331978882506,0.9975575260864564,"[0.2723331978882506,0.9975575260864564]",1
14,AnaPetar,0.25,1.0,0.25,"[0.25,1.0,0.25]",0.20837770153389817,1.030834056895308,"[0.20837770153389817,1.030834056895308]",1
15,AnBn,0.05952380952380953,1.0,0.5,"[0.05952380952380953,1.0,0.5]",0.5115843302973655,0.9938668196798898,"[0.5115843302973655,0.9938668196798898]",2
16,Ando Saina,0.0,1.0,1.0,"[0.0,1.0,1.0]",0.994654844855192,0.9841085118089814,"[0.994654844855192,0.9841085118089814]",3
17,Andra�� ��unkar,0.018518518518518528,0.9,0.8181818181818182,"[0.018518518518518528,0.9,0.8181818181818182]",0.81277295060374,0.8890471346354196,"[0.81277295060374,0.8890471346354196]",3
18,andrea vlastelica,0.05952380952380953,0.7272727272727273,0.5,"[0.05952380952380953,0.7272727272727273,0.5]",0.4913489721695005,0.7266333168690587,"[0.4913489721695005,0.7266333168690587]",2
19,andrea zavorovic,0.13888888888888887,0.2857142857142857,0.125,"[0.13888888888888887,0.2857142857142857,0.125]",0.08296001611314481,0.3082208919017862,"[0.08296001611314481,0.3082208919017862]",0
20,Andrej_A,0.2222222222222222,0.9,0.2727272727272727,"[0.2222222222222222,0.9,0.2727272727272727]",0.23253683169727807,0.9273989947034053,"[0.23253683169727807,0.9273989947034053]",1
21,AndrejaN,0.25,1.0,0.0,"[0.25,1.0,0.0]",-0.02173693139602355,1.0297709731863245,"[-0.02173693139602355,1.0297709731863245]",1
22,Andro Zuanic,0.08333333333333333,0.6666666666666666,0.5,"[0.08333333333333333,0.6666666666666666,0.5]",0.47771572643967064,0.6720018841377575,"[0.47771572643967064,0.6720018841377575]",2
23,andrzej,0.027777777777777773,0.6666666666666666,0.5,"[0.027777777777777773,0.6666666666666666,0.5]",0.4990342252244548,0.6609097072014737,"[0.4990342252244548,0.6609097072014737]",2
24,ane,0.5833333333333334,1.0,0.125,"[0.5833333333333334,1.0,0.125]",-0.03459060763976764,1.096855576658519,"[-0.03459060763976764,1.096855576658519]",1
25,Anela,0.08333333333333333,0.6666666666666666,0.25,"[0.08333333333333333,0.6666666666666666,0.25]",0.2476010935097489,0.670938800428774,"[0.2476010935097489,0.670938800428774]",0
26,anja menih,0.25,1.0,0.0,"[0.25,1.0,0.0]",-0.02173693139602355,1.0297709731863245,"[-0.02173693139602355,1.0297709731863245]",1
27,anja.r,0.25,1.0,0.0,"[0.25,1.0,0.0]",-0.02173693139602355,1.0297709731863245,"[-0.02173693139602355,1.0297709731863245]",1
28,Ankica,0.375,1.0,0.09090909090909093,"[0.375,1.0,0.09090909090909093]",0.013974494676365468,1.0551149471871388,"[0.013974494676365468,1.0551149471871388]",1
29,Annie,0.0,1.0,1.0,"[0.0,1.0,1.0]",0.994654844855192,0.9841085118089814,"[0.994654844855192,0.9841085118089814]",3
30,Annie Cornu,0.9166666666666666,1.0,0.0,"[0.9166666666666666,1.0,0.0]",-0.27755891681343337,1.1628770964217303,"[-0.27755891681343337,1.1628770964217303]",1
31,ante vrataric,0.08333333333333333,1.0,0.3333333333333333,"[0.08333333333333333,1.0,0.3333333333333333]",0.34903807553155786,0.9979118873227842,"[0.34903807553155786,0.9979118873227842]",1
32,anton jane��,0.10000000000000002,1.0,0.3636363636363637,"[0.10000000000000002,1.0,0.3636363636363637]",0.3705352086755071,1.0013683990350615,"[0.3705352086755071,1.0013683990350615]",1
33,Anze-G,0.25,1.0,0.25,"[0.25,1.0,0.25]",0.20837770153389817,1.030834056895308,"[0.20837770153389817,1.030834056895308]",1
34,Anzze99,0.04166666666666666,0.875,0.6666666666666666,"[0.04166666666666666,0.875,0.6666666666666666]",0.6625719210514367,0.8685281774442519,"[0.6625719210514367,0.8685281774442519]",2
35,Apsirtgirl,0.033333333333333326,1.0,0.7142857142857143,"[0.033333333333333326,1.0,0.7142857142857143]",0.7188755936644109,0.9895488651604848,"[0.7188755936644109,0.9895488651604848]",3
36,babao,0.0972222222222222,0.5833333333333334,0.0,"[0.0972222222222222,0.5833333333333334,0.0]",0.005973809789005746,0.5909940795394409,"[0.005973809789005746,0.5909940795394409]",0
37,benjamin,0.4166666666666667,1.0,0.16666666666666666,"[0.4166666666666667,1.0,0.16666666666666666]",0.06771732753623845,1.0637562264678315,"[0.06771732753623845,1.0637562264678315]",1
38,blaz02,0.4166666666666667,1.0,0.16666666666666666,"[0.4166666666666667,1.0,0.16666666666666666]",0.06771732753623845,1.0637562264678315,"[0.06771732753623845,1.0637562264678315]",1
39,Bojan1825,0.04166666666666666,1.0,0.6666666666666666,"[0.04166666666666666,1.0,0.6666666666666666]",0.6718464601933749,0.9910101995658829,"[0.6718464601933749,0.9910101995658829]",3
40,Bor,0.5833333333333334,0.8571428571428571,0.0,"[0.5833333333333334,0.8571428571428571,0.0]",-0.16024739740980065,0.9563445809507349,"[-0.16024739740980065,0.9563445809507349]",1
41,BORIS MREVLJE,0.25,1.0,0.0,"[0.25,1.0,0.0]",-0.02173693139602355,1.0297709731863245,"[-0.02173693139602355,1.0297709731863245]",1
42,BorutKolar,0.08333333333333333,1.0,0.0,"[0.08333333333333333,1.0,0.0]",0.04221856495832891,0.9964944423774729,"[0.04221856495832891,0.9964944423774729]",1
43,Bo��tjan M.,0.013888888888888895,1.0,0.7142857142857143,"[0.013888888888888895,1.0,0.7142857142857143]",0.7263370682390854,0.9856666032327854,"[0.7263370682390854,0.9856666032327854]",3
44,BostjanH,0.1875,0.9166666666666666,0.0,"[0.1875,0.9166666666666666,0.0]",-0.003936646357766804,0.9356375927185844,"[-0.003936646357766804,0.9356375927185844]",1
45,Bo��tjanK,0.006944444444444438,1.0,0.6153846153846154,"[0.006944444444444438,1.0,0.6153846153846154]",0.6379675203072144,0.9838595205275806,"[0.6379675203072144,0.9838595205275806]",3
46,Branklo,0.027777777777777773,1.0,0.75,"[0.027777777777777773,1.0,0.75]",0.7538809625328782,0.9885915165681397,"[0.7538809625328782,0.9885915165681397]",3
47,BrunoB,0.02380952380952382,0.875,0.6666666666666666,"[0.02380952380952382,0.875,0.6666666666666666]",0.6694242956608316,0.8649628348575893,"[0.6694242956608316,0.8649628348575893]",3
48,Buda,0.16666666666666666,0.4,0.3333333333333333,"[0.16666666666666666,0.4,0.3333333333333333]",0.27254253947307855,0.4266364465433818,"[0.27254253947307855,0.4266364465433818]",0
49,Buki,0.0,1.0,0.8,"[0.0,1.0,0.8]",0.8105631385112546,0.9832580448417946,"[0.8105631385112546,0.9832580448417946]",3
50,chibu79,0.007575757575757569,1.0,0.9166666666666666,"[0.007575757575757569,1.0,0.9166666666666666]",0.9150428991957777,0.9852667201548742,"[0.9150428991957777,0.9852667201548742]",3
51,Cromiza,0.14583333333333334,0.8,0.2727272727272727,"[0.14583333333333334,0.8,0.2727272727272727]",0.25443013621280575,0.8141616337187103,"[0.25443013621280575,0.8141616337187103]",1
52,cvjetko,0.027777777777777773,1.0,0.6666666666666666,"[0.027777777777777773,1.0,0.6666666666666666]",0.6771760848895709,0.9882371553318119,"[0.6771760848895709,0.9882371553318119]",3
53,Dalka,0.0119047619047619,0.5714285714285714,0.5,"[0.0119047619047619,0.5714285714285714,0.5]",0.4980589093405355,0.5644208778889119,"[0.4980589093405355,0.5644208778889119]",2
54,Damir Mulalic,0.16666666666666666,1.0,0.16666666666666666,"[0.16666666666666666,1.0,0.16666666666666666]",0.16365057206776715,1.0138414302545542,"[0.16365057206776715,1.0138414302545542]",1
55,damir.juretic,0.0,1.0,1.0,"[0.0,1.0,1.0]",0.994654844855192,0.9841085118089814,"[0.994654844855192,0.9841085118089814]",3
56,Danilo4783,0.2222222222222222,1.0,0.09090909090909093,"[0.2222222222222222,1.0,0.09090909090909093]",0.0726003663345219,1.0246114606123584,"[0.0726003663345219,1.0246114606123584]",1
57,Dario,0.16666666666666666,1.0,0.2222222222222222,"[0.16666666666666666,1.0,0.2222222222222222]",0.2147871571633053,1.014077671078773,"[0.2147871571633053,1.014077671078773]",1
58,DarioR,0.11111111111111112,1.0,0.14285714285714285,"[0.11111111111111112,1.0,0.14285714285714285]",0.16305339152589207,1.0026480072507482,"[0.16305339152589207,1.0026480072507482]",1
59,Darko Babic,0.025000000000000005,1.0,0.6923076923076923,"[0.025000000000000005,1.0,0.6923076923076923]",0.7018435106421355,0.9877915807115601,"[0.7018435106421355,0.9877915807115601]",3
60,David Sirk,0.2222222222222222,1.0,0.0,"[0.2222222222222222,1.0,0.0]",-0.011077682003631462,1.0242248847181825,"[-0.011077682003631462,1.0242248847181825]",1
61,Dejan Adamic,0.025000000000000005,0.5833333333333334,0.6153846153846154,"[0.025000000000000005,0.5833333333333334,0.6153846153846154]",0.6001238777290324,0.57919107095977,"[0.6001238777290324,0.57919107095977]",2
62,DejanJ,0.006944444444444438,0.9166666666666666,0.8461538461538461,"[0.006944444444444438,0.9166666666666666,0.8461538461538461]",0.8441980015325167,0.9031861471522218,"[0.8441980015325167,0.9031861471522218]",3
63,delimir,0.2222222222222222,0.8,0.0,"[0.2222222222222222,0.8,0.0]",-0.025916944630732484,0.8282536493235731,"[-0.025916944630732484,0.8282536493235731]",1
64,demirel,0.25,0.6666666666666666,0.25,"[0.25,0.6666666666666666,0.25]",0.18364559715539644,0.7042153312376255,"[0.18364559715539644,0.7042153312376255]",0
65,Deni Oreb,0.8333333333333334,1.0,0.09090909090909093,"[0.8333333333333334,1.0,0.09090909090909093]",-0.16190312029810383,1.1466254069114805,"[-0.16190312029810383,1.1466254069114805]",1
66,Dimen,0.05555555555555556,0.75,0.4,"[0.05555555555555556,0.75,0.4]",0.40251214875471947,0.7476852436004429,"[0.40251214875471947,0.7476852436004429]",2
67,dkervina,0.08333333333333333,1.0,0.5,"[0.08333333333333333,1.0,0.5]",0.5024478308181723,0.99862060979544,"[0.5024478308181723,0.99862060979544]",2
68,dmeic,0.13333333333333333,0.8333333333333334,0.3076923076923077,"[0.13333333333333333,0.8333333333333334,0.3076923076923077]",0.29388387362267593,0.8444764495100362,"[0.29388387362267593,0.8444764495100362]",1
69,Domen S,0.0,1.0,0.9166666666666666,"[0.0,1.0,0.9166666666666666]",0.9179499672118847,0.9837541505726536,"[0.9179499672118847,0.9837541505726536]",3
70,Dorsi,0.125,1.0,0.4,"[0.125,1.0,0.4]",0.39441310355761555,1.0065145090140595,"[0.39441310355761555,1.0065145090140595]",2
71,dragana,0.11111111111111112,0.5,0.42857142857142855,"[0.11111111111111112,0.5,0.42857142857142855]",0.38894338687805,0.5139348715744917,"[0.38894338687805,0.5139348715744917]",2
72,Dra��en,0.04166666666666666,0.875,0.5555555555555556,"[0.04166666666666666,0.875,0.5555555555555556]",0.5602987508603604,0.8680556957958148,"[0.5602987508603604,0.8680556957958148]",2
73,Dra��en Kralj,0.25,0.9090909090909092,0.0,"[0.25,0.9090909090909092,0.0]",-0.02848205077197856,0.9406931389160474,"[-0.02848205077197856,0.9406931389160474]",1
74,drejc,0.03125,0.7,0.18181818181818185,"[0.03125,0.7,0.18181818181818185]",0.20730186030471923,0.6929118251961442,"[0.20730186030471923,0.6929118251961442]",0
75,Du��i,0.13888888888888887,1.0,0.125,"[0.13888888888888887,1.0,0.125]",0.13595738263850562,1.0081181611682486,"[0.13595738263850562,1.0081181611682486]",1
76,Edvard,0.010416666666666666,1.0,0.7777777777777778,"[0.010416666666666666,1.0,0.7777777777777778]",0.7861112859508923,0.9852433316876604,"[0.7861112859508923,0.9852433316876604]",3
77,Efa i Neno,0.052083333333333336,0.75,0.38461538461538464,"[0.052083333333333336,0.75,0.38461538461538464]",0.3896836544407733,0.7469265620059877,"[0.3896836544407733,0.7469265620059877]",2
78,Elena Nikolovska,0.25,1.0,0.125,"[0.25,1.0,0.125]",0.0933203850689373,1.0303025150408163,"[0.0933203850689373,1.0303025150408163]",1
79,Ferijan Perkovic,0.04166666666666666,0.875,0.5555555555555556,"[0.04166666666666666,0.875,0.5555555555555556]",0.5602987508603604,0.8680556957958148,"[0.5602987508603604,0.8680556957958148]",2
80,filip mestrovic,0.033333333333333326,1.0,0.7142857142857143,"[0.033333333333333326,1.0,0.7142857142857143]",0.7188755936644109,0.9895488651604848,"[0.7188755936644109,0.9895488651604848]",3
81,Gaja,0.25,1.0,0.0,"[0.25,1.0,0.0]",-0.02173693139602355,1.0297709731863245,"[-0.02173693139602355,1.0297709731863245]",1
82,Gasper,0.0625,0.6666666666666666,0.42857142857142855,"[0.0625,0.6666666666666666,0.42857142857142855]",0.419963125503987,0.6675385795840845,"[0.419963125503987,0.6675385795840845]",2
83,gcampa,0.04166666666666666,1.0,0.4166666666666667,"[0.04166666666666666,1.0,0.4166666666666667]",0.44173182726345317,0.9899471158568993,"[0.44173182726345317,0.9899471158568993]",2
84,GITA MARINKOVIC,0.25,0.6666666666666666,0.25,"[0.25,0.6666666666666666,0.25]",0.18364559715539644,0.7042153312376255,"[0.18364559715539644,0.7042153312376255]",0
85,Goran Cacic,0.08333333333333333,1.0,0.08333333333333333,"[0.08333333333333333,1.0,0.08333333333333333]",0.11892344260163615,0.9968488036138007,"[0.11892344260163615,0.9968488036138007]",1
86,Goran ��urica,0.0972222222222222,0.9166666666666666,0.3076923076923077,"[0.0972222222222222,0.9166666666666666,0.3076923076923077]",0.3139239239274111,0.9189212159158722,"[0.3139239239274111,0.9189212159158722]",1
87,Gordan,0.1875,0.9166666666666666,0.07692307692307693,"[0.1875,0.9166666666666666,0.07692307692307693]",0.0668678560822091,0.9359646953982717,"[0.0668678560822091,0.9359646953982717]",1
88,Gordana Genc,0.010416666666666666,1.0,0.8888888888888888,"[0.010416666666666666,1.0,0.8888888888888888]",0.8883844561419685,0.9857158133360975,"[0.8883844561419685,0.9857158133360975]",3
89,gpet,0.016666666666666663,0.9090909090909092,0.8333333333333334,"[0.016666666666666663,0.9090909090909092,0.8333333333333334]",0.8281044205571872,0.897649608146934,"[0.8281044205571872,0.897649608146934]",3
90,Gregor Primc,0.016666666666666663,1.0,0.4166666666666667,"[0.016666666666666663,1.0,0.4166666666666667]",0.45132515171660603,0.9849556362355716,"[0.45132515171660603,0.9849556362355716]",2
91,greta,0.0625,0.6666666666666666,0.2857142857142857,"[0.0625,0.6666666666666666,0.2857142857142857]",0.28846904954403174,0.666931103178951,"[0.28846904954403174,0.666931103178951]",0
92,Grozdana Sirotic,0.027777777777777773,1.0,0.5,"[0.027777777777777773,1.0,0.5]",0.5237663296029564,0.9875284328591561,"[0.5237663296029564,0.9875284328591561]",2
93,Grup amor,0.04166666666666666,0.875,0.1111111111111111,"[0.04166666666666666,0.875,0.1111111111111111]",0.1512060700960552,0.8661657692020662,"[0.1512060700960552,0.8661657692020662]",1
94,HanaP,0.05555555555555556,1.0,0.0,"[0.05555555555555556,1.0,0.0]",0.05287781435072098,0.990948353909331,"[0.05287781435072098,0.990948353909331]",1
95,Hrvoje Juvancic,0.06666666666666668,1.0,0.5555555555555556,"[0.06666666666666668,1.0,0.5555555555555556]",0.5599799655491458,0.9955291975387734,"[0.5599799655491458,0.9955291975387734]",2
96,Hrvoje Petek,0.25,0.9090909090909092,0.0,"[0.25,0.9090909090909092,0.0]",-0.02848205077197856,0.9406931389160474,"[-0.02848205077197856,0.9406931389160474]",1
97,Igor ��utic,0.006944444444444438,1.0,0.8461538461538461,"[0.006944444444444438,1.0,0.8461538461538461]",0.8503810276271421,0.9848408285666425,"[0.8503810276271421,0.9848408285666425]",3
98,Igor ��afran,0.006944444444444438,0.75,0.7692307692307693,"[0.006944444444444438,0.75,0.7692307692307693]",0.7610274469032899,0.7395496816436934,"[0.7610274469032899,0.7395496816436934]",3
99,Igor29,0.16666666666666666,1.0,0.3333333333333333,"[0.16666666666666666,1.0,0.3333333333333333]",0.3170603273543816,1.01455015272721,"[0.3170603273543816,1.01455015272721]",1
100,IgorGancevic,0.13888888888888887,0.8571428571428571,0.125,"[0.13888888888888887,0.8571428571428571,0.125]",0.12535790933343346,0.868138707314956,"[0.12535790933343346,0.868138707314956]",1
101,igorr,0.16666666666666666,1.0,0.2222222222222222,"[0.16666666666666666,1.0,0.2222222222222222]",0.2147871571633053,1.014077671078773,"[0.2147871571633053,1.014077671078773]",1
102,iivana,0.0625,0.8333333333333334,0.2857142857142857,"[0.0625,0.8333333333333334,0.2857142857142857]",0.3008351017332826,0.8302404660077923,"[0.3008351017332826,0.8302404660077923]",1
103,Ina,0.0,1.0,0.9,"[0.0,1.0,0.9]",0.9026089916832233,0.983683278325388,"[0.9026089916832233,0.983683278325388]",3
